literal	pos	family	voice	note
傷殘人員	n			len4-noun-heuristic
僵屍網絡	n			len4-noun-heuristic
價值工程	n			len4-noun-heuristic
儲蓄機構	n			len4-noun-heuristic
先見之明	n			len4-noun-heuristic
先進水平	n			len4-noun-heuristic
光化作用	n			len4-noun-heuristic
光合作用	n			len4-noun-heuristic
免疫系統	n			len4-noun-heuristic
兒科醫生	n			len4-noun-heuristic
內江地區	n			len4-noun-heuristic
公之於世	n			len4-noun-heuristic
公共電話	n			len4-noun-heuristic
公務人員	n			len4-noun-heuristic
公安人員	n			len4-noun-heuristic
公用電話	n			len4-noun-heuristic
公立醫院	n			len4-noun-heuristic
公職人員	n			len4-noun-heuristic
共同市場	n			len4-noun-heuristic
共產主義	n			len4-noun-heuristic
冒險主義	n			len4-noun-heuristic
冥冥之中	n			len4-noun-heuristic
冶金工業	n			len4-noun-heuristic
分裂主義	n			len4-noun-heuristic
分裂組織	n			len4-noun-heuristic
分解作用	n			len4-noun-heuristic
列寧主義	n			len4-noun-heuristic
利己主義	n			len4-noun-heuristic
功利主義	n			len4-noun-heuristic
加冕典禮	n			len4-noun-heuristic
勞動產品	n			len4-noun-heuristic
勤雜人員	n			len4-noun-heuristic
包頭地區	n			len4-noun-heuristic
化學元素	n			len4-noun-heuristic
匹夫之勇	n			len4-noun-heuristic
區域網絡	n			len4-noun-heuristic
十之八九	n			len4-noun-heuristic
印象主義	n			len4-noun-heuristic
即興之作	n			len4-noun-heuristic
卵母細胞	n			len4-noun-heuristic
原始社會	n			len4-noun-heuristic
原核生物	n			len4-noun-heuristic
原核細胞	n			len4-noun-heuristic
反之亦然	n			len4-noun-heuristic
反射作用	n			len4-noun-heuristic
反導系統	n			len4-noun-heuristic
取之不盡	n			len4-noun-heuristic
受之有愧	n			len4-noun-heuristic
口腹之慾	n			len4-noun-heuristic
口舌之爭	n			len4-noun-heuristic
古典主義	n			len4-noun-heuristic
古典藝術	n			len4-noun-heuristic
叫醒服務	n			len4-noun-heuristic
召之即來	n			len4-noun-heuristic
可視電話	n			len4-noun-heuristic
可造之材	n			len4-noun-heuristic
各界人士	n			len4-noun-heuristic
同化作用	n			len4-noun-heuristic
君子之交	n			len4-noun-heuristic
吞噬細胞	n			len4-noun-heuristic
吹灰之力	n			len4-noun-heuristic
周口地區	n			len4-noun-heuristic
呼吸系統	n			len4-noun-heuristic
售後服務	n			len4-noun-heuristic
唯物主義	n			len4-noun-heuristic
唱片公司	n			len4-noun-heuristic
商品經濟	n			len4-noun-heuristic
啓動技術	n			len4-noun-heuristic
喪家之犬	n			len4-noun-heuristic
單核細胞	n			len4-noun-heuristic
單邊主義	n			len4-noun-heuristic
嗟來之食	n			len4-noun-heuristic
四平地區	n			len4-noun-heuristic
困獸之鬥	n			len4-noun-heuristic
國內市場	n			len4-noun-heuristic
國土安全	n			len4-noun-heuristic
國外市場	n			len4-noun-heuristic
國家主義	n			len4-noun-heuristic
國家安全	n			len4-noun-heuristic
國家機構	n			len4-noun-heuristic
國民經濟	n			len4-noun-heuristic
國立大學	n			len4-noun-heuristic
國防工業	n			len4-noun-heuristic
國際市場	n			len4-noun-heuristic
國際經濟	n			len4-noun-heuristic
土木工程	n			len4-noun-heuristic
在天之靈	n			len4-noun-heuristic
在此之後	n			len4-noun-heuristic
地主之誼	n			len4-noun-heuristic
地方主義	n			len4-noun-heuristic
地方政府	n			len4-noun-heuristic
垂暮之年	n			len4-noun-heuristic
基因工程	n			len4-noun-heuristic
基地組織	n			len4-noun-heuristic
基本單位	n			len4-noun-heuristic
基本粒子	n			len4-noun-heuristic
基礎問題	n			len4-noun-heuristic
塔城地區	n			len4-noun-heuristic
壟斷市場	n			len4-noun-heuristic
夕陽工業	n			len4-noun-heuristic
外力作用	n			len4-noun-heuristic
外勤人員	n			len4-noun-heuristic
外匯市場	n			len4-noun-heuristic
外科醫生	n			len4-noun-heuristic
外籍人士	n			len4-noun-heuristic
多事之秋	n			len4-noun-heuristic
大將之風	n			len4-noun-heuristic
大雅之堂	n			len4-noun-heuristic
天之驕子	n			len4-noun-heuristic
天作之合	n			len4-noun-heuristic
天壤之別	n			len4-noun-heuristic
天府之國	n			len4-noun-heuristic
天文單位	n			len4-noun-heuristic
天淵之別	n			len4-noun-heuristic
失之交臂	n			len4-noun-heuristic
女性主義	n			len4-noun-heuristic
女權主義	n			len4-noun-heuristic
女流之輩	n			len4-noun-heuristic
奴隸社會	n			len4-noun-heuristic
好事之徒	n			len4-noun-heuristic
婦人之仁	n			len4-noun-heuristic
婦科醫生	n			len4-noun-heuristic
孔孟之道	n			len4-noun-heuristic
存在主義	n			len4-noun-heuristic
孤立主義	n			len4-noun-heuristic
安全措施	n			len4-noun-heuristic
安慶地區	n			len4-noun-heuristic
宗派主義	n			len4-noun-heuristic
官僚主義	n			len4-noun-heuristic
客觀主義	n			len4-noun-heuristic
實用主義	n			len4-noun-heuristic
寧波地區	n			len4-noun-heuristic
寫實主義	n			len4-noun-heuristic
封建主義	n			len4-noun-heuristic
封建社會	n			len4-noun-heuristic
專家系統	n			len4-noun-heuristic
專業人士	n			len4-noun-heuristic
專業組織	n			len4-noun-heuristic
專線電話	n			len4-noun-heuristic
專職人員	n			len4-noun-heuristic
專門人員	n			len4-noun-heuristic
導彈系統	n			len4-noun-heuristic
導航系統	n			len4-noun-heuristic
小農經濟	n			len4-noun-heuristic
少之又少	n			len4-noun-heuristic
巢湖地區	n			len4-noun-heuristic
工作人員	n			len4-noun-heuristic
工業中心	n			len4-noun-heuristic
工業國家	n			len4-noun-heuristic
工科大學	n			len4-noun-heuristic
巨噬細胞	n			len4-noun-heuristic
市場經濟	n			len4-noun-heuristic
市民社會	n			len4-noun-heuristic
帝國主義	n			len4-noun-heuristic
師範大學	n			len4-noun-heuristic
師範學院	n			len4-noun-heuristic
常見問題	n			len4-noun-heuristic
平均主義	n			len4-noun-heuristic
平庸之輩	n			len4-noun-heuristic
平等主義	n			len4-noun-heuristic
延安地區	n			len4-noun-heuristic
延邊地區	n			len4-noun-heuristic
建築公司	n			len4-noun-heuristic
引水工程	n			len4-noun-heuristic
弦外之音	n			len4-noun-heuristic
強弩之末	n			len4-noun-heuristic
彈丸之地	n			len4-noun-heuristic
彈指之間	n			len4-noun-heuristic
形式主義	n			len4-noun-heuristic
後事之師	n			len4-noun-heuristic
後勤人員	n			len4-noun-heuristic
後起之秀	n			len4-noun-heuristic
後顧之憂	n			len4-noun-heuristic
循環系統	n			len4-noun-heuristic
微觀經濟	n			len4-noun-heuristic
德州地區	n			len4-noun-heuristic
心理作用	n			len4-noun-heuristic
心理現象	n			len4-noun-heuristic
心腹之患	n			len4-noun-heuristic
必然結果	n			len4-noun-heuristic
必爭之地	n			len4-noun-heuristic
必由之路	n			len4-noun-heuristic
志願服務	n			len4-noun-heuristic
忽然之間	n			len4-noun-heuristic
急人之難	n			len4-noun-heuristic
恐怖主義	n			len4-noun-heuristic
恐怖分子	n			len4-noun-heuristic
恐怖組織	n			len4-noun-heuristic
恐怖電影	n			len4-noun-heuristic
悔之晚矣	n			len4-noun-heuristic
患難之交	n			len4-noun-heuristic
悲觀主義	n			len4-noun-heuristic
情急之下	n			len4-noun-heuristic
意料之中	n			len4-noun-heuristic
意料之外	n			len4-noun-heuristic
愛國主義	n			len4-noun-heuristic
愛國人士	n			len4-noun-heuristic
慈善機構	n			len4-noun-heuristic
慣性作用	n			len4-noun-heuristic
應用技術	n			len4-noun-heuristic
所屬單位	n			len4-noun-heuristic
手提電話	n			len4-noun-heuristic
抑制作用	n			len4-noun-heuristic
投降主義	n			len4-noun-heuristic
折衷主義	n			len4-noun-heuristic
拒之門外	n			len4-noun-heuristic
拜金主義	n			len4-noun-heuristic
拳頭產品	n			len4-noun-heuristic
持之有故	n			len4-noun-heuristic
排泄系統	n			len4-noun-heuristic
排猶主義	n			len4-noun-heuristic
控股公司	n			len4-noun-heuristic
揮之不去	n			len4-noun-heuristic
援助之手	n			len4-noun-heuristic
援助機構	n			len4-noun-heuristic
收之桑榆	n			len4-noun-heuristic
改良主義	n			len4-noun-heuristic
政府機構	n			len4-noun-heuristic
政府部門	n			len4-noun-heuristic
政治經濟	n			len4-noun-heuristic
政界人士	n			len4-noun-heuristic
教學機構	n			len4-noun-heuristic
教條主義	n			len4-noun-heuristic
教育大學	n			len4-noun-heuristic
教育學院	n			len4-noun-heuristic
數據中心	n			len4-noun-heuristic
文化水平	n			len4-noun-heuristic
文明國家	n			len4-noun-heuristic
文明社會	n			len4-noun-heuristic
文職人員	n			len4-noun-heuristic
斷袖之癖	n			len4-noun-heuristic
明日之星	n			len4-noun-heuristic
明智之舉	n			len4-noun-heuristic
星星之火	n			len4-noun-heuristic
是非之地	n			len4-noun-heuristic
普天之下	n			len4-noun-heuristic
智能電話	n			len4-noun-heuristic
智障人士	n			len4-noun-heuristic
有夫之婦	n			len4-noun-heuristic
有婦之夫	n			len4-noun-heuristic
有心人士	n			len4-noun-heuristic
有核國家	n			len4-noun-heuristic
有生之年	n			len4-noun-heuristic
有識之士	n			len4-noun-heuristic
有限公司	n			len4-noun-heuristic
朝陽地區	n			len4-noun-heuristic
未解之謎	n			len4-noun-heuristic
本位主義	n			len4-noun-heuristic
本本主義	n			len4-noun-heuristic
東巴文化	n			len4-noun-heuristic
東方國家	n			len4-noun-heuristic
東方文化	n			len4-noun-heuristic
林芝地區	n			len4-noun-heuristic
桌面系統	n			len4-noun-heuristic
業務水平	n			len4-noun-heuristic
榆林地區	n			len4-noun-heuristic
榮譽軍人	n			len4-noun-heuristic
槓桿原理	n			len4-noun-heuristic
樂山地區	n			len4-noun-heuristic
樂觀主義	n			len4-noun-heuristic
標準組織	n			len4-noun-heuristic
機會主義	n			len4-noun-heuristic
機會成本	n			len4-noun-heuristic
機電設備	n			len4-noun-heuristic
權宜之計	n			len4-noun-heuristic
武漢地區	n			len4-noun-heuristic
武裝分子	n			len4-noun-heuristic
殖民主義	n			len4-noun-heuristic
殺身之禍	n			len4-noun-heuristic
毛細現象	n			len4-noun-heuristic
民族主義	n			len4-noun-heuristic
民族工業	n			len4-noun-heuristic
民權主義	n			len4-noun-heuristic
民生主義	n			len4-noun-heuristic
民粹主義	n			len4-noun-heuristic
氣象學者	n			len4-noun-heuristic
氧化作用	n			len4-noun-heuristic
水利工程	n			len4-noun-heuristic
求之不得	n			len4-noun-heuristic
汕頭地區	n			len4-noun-heuristic
池魚之殃	n			len4-noun-heuristic
沉沒成本	n			len4-noun-heuristic
沙漠之狐	n			len4-noun-heuristic
泛泛之交	n			len4-noun-heuristic
泛泛之輩	n			len4-noun-heuristic
泡沫經濟	n			len4-noun-heuristic
注意安全	n			len4-noun-heuristic
洛陽地區	n			len4-noun-heuristic
流亡政府	n			len4-noun-heuristic
浩然之氣	n			len4-noun-heuristic
浮游生物	n			len4-noun-heuristic
海洋生物	n			len4-noun-heuristic
海運公司	n			len4-noun-heuristic
海關人員	n			len4-noun-heuristic
消化系統	n			len4-noun-heuristic
消費資料	n			len4-noun-heuristic
消防安全	n			len4-noun-heuristic
溢美之詞	n			len4-noun-heuristic
滅門之禍	n			len4-noun-heuristic
漁人之利	n			len4-noun-heuristic
激進分子	n			len4-noun-heuristic
濟南地區	n			len4-noun-heuristic
濟寧地區	n			len4-noun-heuristic
為之動容	n			len4-noun-heuristic
無冕之王	n			len4-noun-heuristic
無心之失	n			len4-noun-heuristic
無心之過	n			len4-noun-heuristic
無恥之徒	n			len4-noun-heuristic
無稽之談	n			len4-noun-heuristic
無米之炊	n			len4-noun-heuristic
無線電話	n			len4-noun-heuristic
無限公司	n			len4-noun-heuristic
照明設備	n			len4-noun-heuristic
熱帶地區	n			len4-noun-heuristic
片面之詞	n			len4-noun-heuristic
牙科醫生	n			len4-noun-heuristic
牢獄之災	n			len4-noun-heuristic
物理現象	n			len4-noun-heuristic
特務組織	n			len4-noun-heuristic
犬儒主義	n			len4-noun-heuristic
犬馬之勞	n			len4-noun-heuristic
獨到之處	n			len4-noun-heuristic
獨身主義	n			len4-noun-heuristic
玄之又玄	n			len4-noun-heuristic
現代主義	n			len4-noun-heuristic
理工大學	n			len4-noun-heuristic
理工學院	n			len4-noun-heuristic
理想主義	n			len4-noun-heuristic
環保主義	n			len4-noun-heuristic
環境問題	n			len4-noun-heuristic
生存之道	n			len4-noun-heuristic
生死之交	n			len4-noun-heuristic
生殖細胞	n			len4-noun-heuristic
生活水平	n			len4-noun-heuristic
生活資料	n			len4-noun-heuristic
生產資料	n			len4-noun-heuristic
生花之筆	n			len4-noun-heuristic
生財之道	n			len4-noun-heuristic
產科醫生	n			len4-noun-heuristic
用武之地	n			len4-noun-heuristic
畢業典禮	n			len4-noun-heuristic
略識之無	n			len4-noun-heuristic
異化作用	n			len4-noun-heuristic
異常現象	n			len4-noun-heuristic
疑難問題	n			len4-noun-heuristic
百獸之王	n			len4-noun-heuristic
百米賽跑	n			len4-noun-heuristic
百貨公司	n			len4-noun-heuristic
皮下組織	n			len4-noun-heuristic
皮包公司	n			len4-noun-heuristic
相對主義	n			len4-noun-heuristic
相比之下	n			len4-noun-heuristic
眉宇之間	n			len4-noun-heuristic
看守政府	n			len4-noun-heuristic
真皮組織	n			len4-noun-heuristic
眼科醫生	n			len4-noun-heuristic
瞬息之間	n			len4-noun-heuristic
知人之明	n			len4-noun-heuristic
知名人士	n			len4-noun-heuristic
知識分子	n			len4-noun-heuristic
知識經濟	n			len4-noun-heuristic
短線產品	n			len4-noun-heuristic
示範單位	n			len4-noun-heuristic
社會主義	n			len4-noun-heuristic
社會現象	n			len4-noun-heuristic
神來之筆	n			len4-noun-heuristic
神經系統	n			len4-noun-heuristic
神經細胞	n			len4-noun-heuristic
神職人員	n			len4-noun-heuristic
禁慾主義	n			len4-noun-heuristic
禮儀之邦	n			len4-noun-heuristic
科學主義	n			len4-noun-heuristic
科技大學	n			len4-noun-heuristic
移動設備	n			len4-noun-heuristic
稀土元素	n			len4-noun-heuristic
稀有元素	n			len4-noun-heuristic
程控電話	n			len4-noun-heuristic
稽查人員	n			len4-noun-heuristic
空殼公司	n			len4-noun-heuristic
突然之間	n			len4-noun-heuristic
立足之地	n			len4-noun-heuristic
立錐之地	n			len4-noun-heuristic
立體電影	n			len4-noun-heuristic
競爭模式	n			len4-noun-heuristic
競爭產品	n			len4-noun-heuristic
等閒之輩	n			len4-noun-heuristic
納米技術	n			len4-noun-heuristic
納粹主義	n			len4-noun-heuristic
細胞組織	n			len4-noun-heuristic
紹興地區	n			len4-noun-heuristic
結婚典禮	n			len4-noun-heuristic
結業典禮	n			len4-noun-heuristic
結締組織	n			len4-noun-heuristic
絲綢之路	n			len4-noun-heuristic
經合組織	n			len4-noun-heuristic
經驗之談	n			len4-noun-heuristic
綜合藝術	n			len4-noun-heuristic
網管系統	n			len4-noun-heuristic
編碼系統	n			len4-noun-heuristic
緩衝作用	n			len4-noun-heuristic
纖維工業	n			len4-noun-heuristic
置之不理	n			len4-noun-heuristic
置之度外	n			len4-noun-heuristic
美國軍人	n			len4-noun-heuristic
羣眾組織	n			len4-noun-heuristic
耄耋之年	n			len4-noun-heuristic
而立之年	n			len4-noun-heuristic
聯合政府	n			len4-noun-heuristic
聯邦政府	n			len4-noun-heuristic
肅殺之氣	n			len4-noun-heuristic
肌肉組織	n			len4-noun-heuristic
肌膚之親	n			len4-noun-heuristic
股份公司	n			len4-noun-heuristic
股票市場	n			len4-noun-heuristic
肺腑之言	n			len4-noun-heuristic
胯下之辱	n			len4-noun-heuristic
臨汾地區	n			len4-noun-heuristic
自然主義	n			len4-noun-heuristic
自然之友	n			len4-noun-heuristic
自然經濟	n			len4-noun-heuristic
自由主義	n			len4-noun-heuristic
自由市場	n			len4-noun-heuristic
自知之明	n			len4-noun-heuristic
致富之道	n			len4-noun-heuristic
航空公司	n			len4-noun-heuristic
良渚文化	n			len4-noun-heuristic
英雄主義	n			len4-noun-heuristic
莫逆之交	n			len4-noun-heuristic
萬全之策	n			len4-noun-heuristic
萬全之計	n			len4-noun-heuristic
萬物之靈	n			len4-noun-heuristic
葬身之地	n			len4-noun-heuristic
蒸騰作用	n			len4-noun-heuristic
藏身之處	n			len4-noun-heuristic
藝術學院	n			len4-noun-heuristic
蘇州地區	n			len4-noun-heuristic
處之泰然	n			len4-noun-heuristic
處理方法	n			len4-noun-heuristic
虛無主義	n			len4-noun-heuristic
虹吸現象	n			len4-noun-heuristic
血光之災	n			len4-noun-heuristic
行之有效	n			len4-noun-heuristic
行動電話	n			len4-noun-heuristic
行政單位	n			len4-noun-heuristic
行政部門	n			len4-noun-heuristic
衞生設備	n			len4-noun-heuristic
製作方法	n			len4-noun-heuristic
覆盆之冤	n			len4-noun-heuristic
視覺藝術	n			len4-noun-heuristic
觀察人士	n			len4-noun-heuristic
解放組織	n			len4-noun-heuristic
言下之意	n			len4-noun-heuristic
言之尚早	n			len4-noun-heuristic
言之成理	n			len4-noun-heuristic
言之有據	n			len4-noun-heuristic
言之有物	n			len4-noun-heuristic
言之有理	n			len4-noun-heuristic
言之無物	n			len4-noun-heuristic
言之過早	n			len4-noun-heuristic
言之鑿鑿	n			len4-noun-heuristic
言外之意	n			len4-noun-heuristic
證券公司	n			len4-noun-heuristic
證券市場	n			len4-noun-heuristic
警報系統	n			len4-noun-heuristic
變質作用	n			len4-noun-heuristic
象徵主義	n			len4-noun-heuristic
象牙之塔	n			len4-noun-heuristic
貨幣主義	n			len4-noun-heuristic
貪天之功	n			len4-noun-heuristic
貿易組織	n			len4-noun-heuristic
購物中心	n			len4-noun-heuristic
贛州地區	n			len4-noun-heuristic
赤腳醫生	n			len4-noun-heuristic
趁人之危	n			len4-noun-heuristic
超級市場	n			len4-noun-heuristic
越野賽跑	n			len4-noun-heuristic
趨之若鶩	n			len4-noun-heuristic
跨國公司	n			len4-noun-heuristic
跳蚤市場	n			len4-noun-heuristic
身外之物	n			len4-noun-heuristic
軍事學院	n			len4-noun-heuristic
軍事機構	n			len4-noun-heuristic
軍事部門	n			len4-noun-heuristic
軍國主義	n			len4-noun-heuristic
軟件技術	n			len4-noun-heuristic
輸入系統	n			len4-noun-heuristic
輸入設備	n			len4-noun-heuristic
轉眼之間	n			len4-noun-heuristic
辦事機構	n			len4-noun-heuristic
辦公設備	n			len4-noun-heuristic
農業技術	n			len4-noun-heuristic
農業社會	n			len4-noun-heuristic
農貿市場	n			len4-noun-heuristic
退役軍人	n			len4-noun-heuristic
通信技術	n			len4-noun-heuristic
通信服務	n			len4-noun-heuristic
通信網絡	n			len4-noun-heuristic
通訊設備	n			len4-noun-heuristic
造成問題	n			len4-noun-heuristic
造紙工業	n			len4-noun-heuristic
造船工業	n			len4-noun-heuristic
週邊設備	n			len4-noun-heuristic
進步人士	n			len4-noun-heuristic
遊戲設備	n			len4-noun-heuristic
運城地區	n			len4-noun-heuristic
遺傳工程	n			len4-noun-heuristic
邊緣地區	n			len4-noun-heuristic
邊遠地區	n			len4-noun-heuristic
邊際成本	n			len4-noun-heuristic
邯鄲地區	n			len4-noun-heuristic
醉翁之意	n			len4-noun-heuristic
重中之重	n			len4-noun-heuristic
重量單位	n			len4-noun-heuristic
野生生物	n			len4-noun-heuristic
金融中心	n			len4-noun-heuristic
金融市場	n			len4-noun-heuristic
金融機構	n			len4-noun-heuristic
