rank	head	essay_frequency	syn_tails	syn_neighbors
123	車輛	1512	4	車,車子,軫
124	辣椒	1512	4	柿子椒,燈籠椒,甜椒
125	連同	1512	5	偕同,及其,夥同
126	連帶	1512	10	唇齒相依,息息相關,有關
127	過山車	1512	1	雲霄飛車
128	酒杯	1512	6	樽,白,觚
129	金幣	1512	34	人民幣,便士,先令
130	金魚	1512	2	熱帶魚,觀賞魚
131	鍾情	1512	11	一往情深,一見傾心,一見鍾情
132	零食	1512	12	冷食,小食,流質
133	電器	1512	1	電料
134	電波	1512	2	無線電波,電磁波
135	青色	1512	2	蒼,青
136	面部	1512	7	臉,臉面,面
137	類型	1512	17	列,品目,品種
138	風度	1512	18	丰采,儀態,勢派
139	風氣	1512	4	新風,習尚,風
140	飯堂	1512	3	食堂,飯廳,餐廳
141	餘地	1512	4	後手,後路,退路
142	鸚鵡	1512	1	鸚哥
143	點火	1512	39	作亂,作怪,作惡
144	話筒	1509	2	傳聲器,微音器
145	參見	1508	17	參拜,參照,參看
146	復出	1508	3	再現,復發,重現
147	一陣子	1507	14	一刻,一時半刻,一會兒
148	有效期	1507	17	假期,刑期,同期
149	東盟	1507	4	北約,工農聯盟,歐洲共同體
150	對接	1506	21	交接,屬,接
151	變壓器	1506	82	傳感器,充電器,冷卻器
152	介質	1505	6	原生質,有機質,溶質
153	奧斯卡	1504	3	加里波第,巴甫洛夫,諾貝爾
154	點球	1504	1	頭球
155	搭檔	1502	10	一行,一起,協作
156	期末	1502	19	季,底,後期
157	燃氣	1502	15	光氣,地氣,天然氣
158	吐血	1500	1	嘔血
159	會所	1498	1	會館
160	油耗	1498	8	煤耗,物耗,耗時
161	洛杉磯	1498	29	卡拉奇,吉隆坡,喀土穆
162	趣味	1498	12	天趣,志趣,情趣
163	櫥櫃	1496	5	檔,櫃,櫃子
164	生活費	1496	2	家用,日用
165	返還	1494	1	返程
166	模擬器	1492	82	傳感器,充電器,冷卻器
167	縣長	1492	6	保長,家長,州長
168	據此	1490	13	之所以,因故,因此
169	桃子	1490	1	桃
170	航母	1490	7	巡洋艦,旗艦,炮艦
171	顯示屏	1490	6	天幕,字幕,屏幕
172	年報	1489	15	大字報,學報,小報
173	老孃	1489	8	助產士,外婆,外祖母
174	支隊	1488	3	兵團,大隊,軍團
175	運動會	1488	42	人大,冬運會,午餐會
176	主帥	1487	12	主將,元帥,元戎
177	公證	1487	8	人證,佐證,偽證
178	大軍	1487	18	三軍,人馬,兵馬
179	拓寬	1485	23	加大,坦蕩,寬
180	美學	1485	82	三角學,人類學,代數學
181	陸軍	1485	17	保安隊,偵察兵,別動隊
182	學子	1483	25	儒,儒生,先生
183	起草	1483	7	擬,擬稿,擬議
184	俄國	1482	156	不丹,中非共和國,丹麥
185	溜達	1482	4	散步,轉悠,逛
186	越發	1482	14	尤其,尤為,愈
187	柴油	1481	3	合成石油,汽油,輕油
188	電動車	1480	53	三輪車,二手車,出租車
189	打的	1479	7	乘坐,乘機,乘船
190	從沒	1478	17	一無,不曾,並未
191	轉會	1478	10	中轉,倒車,轉化
192	作物	1476	1	農作物
193	西紅柿	1476	1	番茄
194	轉速	1476	10	中轉,倒車,轉化
195	租用	1475	35	並用,代用,備用
196	梳理	1474	4	攏,梳,梳頭
197	阿富汗	1474	156	不丹,中非共和國,丹麥
198	仲裁	1473	13	公決,定奪,定規
199	公安部	1473	21	內政部,公安局,分部
200	國情	1473	26	伏旱,傷情,商情
201	基站	1473	2	分區,分站
202	智能手機	1473	1	智能電話
203	規範化	1473	17	人格化,僵化,優化
204	鍋爐	1473	15	化鐵爐,地爐,太陽爐
205	鑑別	1472	10	分辨,判別,甄
206	女足	1471	15	仰卧起坐,俯卧撐,抓舉
207	所有權	1471	39	人權,佃權,佔有權
208	接軌	1471	15	前僕後繼,前赴後繼,延續
209	峯會	1470	42	人大,冬運會,午餐會
210	方程	1468	33	三角函數,二次方程,二進位
211	秋風	1466	3	坑蒙拐騙,打秋風,抽風
212	光電	1465	11	交流電,天電,市電
213	奶牛	1464	1	乳牛
214	移交	1464	5	交代,交割,交卸
215	乒乓球	1462	1	枱球
216	稍稍	1462	22	不怎麼,些微,些許
217	工作日	1461	7	交易日,公休日,勞動日
218	責令	1460	1	責成
219	小米	1459	5	包米,炒米,粳米
220	憑着	1458	4	取給,吃,自恃
221	赫赫	1458	25	丕,了不起,偉
222	妊娠	1456	5	孕,懷孕,懷胎
223	驅動程序	1455	1	驅動程式
224	旅遊業	1454	49	出版業,副業,化工
225	抓獲	1453	6	一網打盡,拿獲,捕獲
226	毫米	1453	11	光年,公分,公里
227	珠江	1453	3	長江,雅魯藏布江,鴨綠江
228	立項	1453	1	立足
229	離子	1453	5	中子,介子,光電子
230	弘揚	1452	5	伸張,恢弘,揚
231	漢奸	1451	10	嘍羅,奴才,幫兇
232	着眼	1450	11	察,察看,察言觀色
233	牽頭	1449	12	主持,主管,主辦
234	自治	1449	5	人治,收治,文治
235	着實	1448	16	委,委實,實在
236	科普	1447	14	周邊,大,大規模
237	坦言	1446	1	交底
238	嫦娥	1446	41	仙人,仙女,佳人
239	位居	1445	18	位於,住,卜居
240	大洋	1445	23	元寶,光洋,大海
241	來訪	1444	8	互訪,信訪,出訪
242	集裝箱	1444	19	工具箱,彈藥箱,意見箱
243	工作組	1443	6	互助組,對照組,工作小組
244	產值	1443	16	交換價值,使用價值,保值
245	規避	1443	9	躲避,躲開,迴避
246	路子	1443	10	不二法門,路,路徑
247	泄漏	1442	7	外泄,泄露,漏風
248	開銷	1442	16	付出,出,支
249	婚後	1441	3	婚前,產前,產後
250	乘車	1439	7	乘坐,乘機,乘船
251	判處	1439	5	判刑,判罪,坐
252	原子	1438	1	亞原子
253	治病	1438	11	治,治療,療
254	唐朝	1437	33	三國,五代,元朝
255	麪粉	1436	2	白麪,面
256	戰績	1435	4	戰功,武功,汗馬功勞
257	雪山	1435	8	佛山,名山,死火山
258	扶貧	1434	11	仗義疏財,助人為樂,慷慨解囊
259	浸泡	1434	4	泡,浸,浸入
260	費勁	1434	35	作難,來之不易,傷腦筋
261	索賠	1432	1	理賠
262	跟上	1432	2	跟不上,跟進
263	年會	1430	11	例會,全會,國會
264	沒事兒	1430	4	不要緊,沒什麼,沒關係
265	考古	1430	20	人工智能,代數,化工
266	抗生素	1428	11	四環素,土黴素,抗毒素
267	紅塵	1428	14	下方,世間,人世
268	股本	1427	12	基金,工本,成本
269	中醫藥	1426	3	中國醫藥,中藥,國藥
270	藝術品	1426	29	備品,備用品,免税品
271	代理人	1425	4	代表,代辦,委託人
272	樹脂	1425	1	環氧樹脂
273	過生日	1424	2	做壽,做生日
274	一線	1423	9	分寸,微小,微薄
275	上流	1423	22	上,上乘,上品
276	不覺	1423	6	後繼乏人,無可厚非,無家可歸
277	主教	1423	5	修士,修女,大主教
278	事務	1423	10	事,事宜,事情
279	五行	1423	3	七十二行,三教九流,各行各業
280	人影	1423	2	身形,身影
281	以致	1423	8	促成,導致,引致
282	但願	1423	30	仰望,企,企望
283	住宅	1423	7	住房,宅,宅子
284	侍者	1423	8	侍從,侍應生,夥計
285	保住	1423	1	保本
286	保佑	1423	4	佑,呵護,庇佑
287	傳媒	1423	3	傳播媒介,傳播媒體,媒體
288	儀態	1423	23	丰采,人品,儀
289	兩旁	1423	14	一旁,外緣,幹
290	公民	1423	20	人民,全員,全民
291	冰凍	1423	7	冷凍,冷凝,凍
292	出任	1423	10	任,做,充
293	前所未有	1423	11	亙古未有,前所未見,前無古人
294	勝負	1423	4	勝敗,成敗,輸贏
295	南瓜	1423	2	倭瓜,番瓜
296	占卜	1423	3	佔,卜,筮
297	原子筆	1423	1	圓珠筆
298	原理	1423	6	公例,公理,公設
299	受害人	1423	3	事主,受害者,被害人
300	受過	1423	2	受罰,抵罪
301	叮囑	1423	6	交代,叮,叮嚀
302	可笑	1423	5	噴飯,好笑,捧腹
303	吊帶	1423	1	吊襪帶
304	同等	1423	25	一,一如既往,一律
305	名詞	1423	9	介詞,代詞,副詞
306	吶喊	1423	15	叫喊,叫喚,叫嚷
307	商店	1423	21	企業,公司,合作社
308	嘉賓	1423	2	雀,麻雀
309	因果	1423	3	因果報應,報,報應
310	地勤	1423	5	內勤,外勤,後勤
311	場合	1423	4	場地,場所,場院
312	填補	1423	17	上,互補,加
313	大自然	1423	10	六合,天地,天體
314	天文台	1423	1	氣象台
315	如同	1423	13	似,似乎,像
316	孤兒	1423	2	孤,遺孤
317	學位	1423	4	學銜,官銜,軍銜
318	家底	1423	9	傢俬,家事,家業
319	寶玉	1423	1	琳
320	專家	1423	7	土專家,大家,大方
321	山坡	1423	1	阪
322	帶路	1423	11	先導,前導,嚮導
323	年少	1423	11	少壯,年紀輕輕,年輕
324	幽靈	1423	6	亡靈,亡魂,在天之靈
325	強逼	1423	14	催逼,勒,勒逼
326	律師	1423	3	辯士,辯護人,辯護士
327	心地	1423	42	中心,內心,六腑
328	性情	1423	11	人性,心性,性
329	恐嚇	1423	7	唬,嚇,嚇唬
330	悄悄	1423	39	一聲不響,不動聲色,不可告人
331	想見	1423	18	審度,度,忖度
332	意大利粉	1423	1	意粉
333	懷孕	1423	5	妊娠,孕,懷胎
334	打圓場	1423	11	勸和,和稀泥,圓場
335	把持	1423	12	佔,佔據,壟斷
336	接吻	1423	4	吻,親,親吻
337	搖搖	1423	12	偏移,搖,搖動
338	擅自	1423	15	不管三七二十一,人身自由,任性
339	操行	1423	9	品德,品性,品格
340	收服	1423	6	伏,折服,服
341	效應	1423	18	作用,力量,功力
342	教室	1423	2	課室,講堂
343	日報	1423	15	大字報,學報,小報
344	晚裝	1423	10	中山裝,古裝,奇裝異服
345	會計	1423	5	先生,出納,出納員
346	槍聲	1423	10	忙音,怨聲,掌聲
347	標誌	1423	9	標明,標示,標記
348	標題	1423	3	題,題名,題目
349	此處	1423	4	此,此地,這裏
350	歲數	1423	11	年,年事,年歲
351	比利時	1423	156	不丹,中非共和國,丹麥
352	氣喘	1423	3	哮喘,喘,喘氣
353	沉思	1423	26	動腦筋,合計,尋味
354	法例	1423	7	刑名,律,法
355	涉及	1423	12	事關,幹,提到
356	港股	1423	4	支票,期票,火車票
357	湧出	1423	8	冒出,出現,應運而生
358	滑落	1423	8	剝落,墮入,散落
359	漩渦	1423	2	渦,渦流
360	潛入	1423	20	乘虛而入,入,入院
361	火柴	1423	2	洋火,自來火
362	烏雲	1423	10	天昏地暗,浮雲,白雲
363	無意中	1423	1	唔覺意
364	煙霧	1423	2	煙,雲煙
365	熱血	1423	24	丹心,公心,實心實意
366	燒烤	1423	17	宣腿,海蜒,涮羊肉
367	牆角	1423	1	死角
368	牙齒	1423	2	牙,齒
369	產地	1423	19	僻地,兩地,半殖民地
370	留底	1423	3	留一手,留後手,留餘地
371	病情	1423	1	病況
372	盾牌	1423	4	幹,櫓,盾
373	研發	1423	1	研製
374	科目	1423	4	學科,教程,課
375	突擊	1423	4	加班,欲擒故縱,閃擊
376	箭步	1423	3	健步,台步,舞步
377	綁匪	1423	5	偷獵者,叛匪,悍匪
378	罪孽	1423	12	作孽,冤孽,孽
379	義氣	1423	40	傾心,實心,實心實意
380	耀眼	1423	9	刺眼,奪目,明晃晃
381	聯想	1423	6	感想,暗想,暢想
382	舉例	1423	4	比喻,比方,譬
383	舞台	1423	1	戲台
384	葬禮	1423	7	公祭,剪綵,喪禮
385	血色	1423	2	天色,膚色
386	褲子	1423	3	下身,小衣,褲
387	設施	1423	5	裝備,裝具,裝置
388	該死	1423	13	可恨,可惡,可鄙
389	課本	1423	5	教本,教材,教科書
390	警署	1423	7	公安局,公安部,巡捕房
391	費用	1423	10	支出,用,用費
392	越過	1423	5	穿,穿越,穿過
393	身分	1423	10	位,位置,品質
394	車上	1423	1	車頭
395	軍人	1423	4	兵,兵家,武人
396	辭典	1423	5	事典,字典,百科全書
397	農場	1423	34	主場,停機坪,停車場
398	逝去	1423	2	歸去,駛去
399	過關	1423	7	及格,合格,夠格
400	鄰居	1423	8	左鄰右舍,比鄰,街坊
401	鍵盤	1423	6	撥號盤,油盤,涼碟
402	鐘樓	1423	2	塔樓,鼓樓
403	長度	1423	3	尺寸,長,長短
404	門牙	1423	2	大牙,門齒
405	閃光燈	1423	41	信號燈,冰燈,吊燈
406	開花	1423	8	怒放,放,盛開
407	開關	1423	3	電鈕,電鍵,電門
408	關懷	1423	8	眷顧,關切,關心
409	防備	1423	15	以防萬一,備,嚴防
410	防火牆	1423	2	擋風牆,風火牆
411	院長	1423	14	列車長,司務長,庭長
412	電池	1423	2	乾電池,電池組
413	風雷	1423	3	悶雷,春雷,沉雷
414	餘下	1423	6	下剩,剩下,剩餘
415	傳染病	1421	118	乙腦,乳腺炎,低燒
416	提速	1420	3	來潮,漲價,漲潮
417	典範	1418	14	則,師,指南
418	手寫	1418	1	手記
419	貨源	1418	20	傳染源,光源,兵源
420	國際貿易	1417	3	世界貿易,國外貿易,外貿
421	收視率	1417	35	佔有率,入學率,利率
422	飛行員	1417	1	試飛員
423	微生物	1416	2	動物,植物
424	親友	1416	2	親朋,親朋好友
425	事蹟	1415	3	史事,紀事,遺事
426	婷婷	1413	30	一表人才,傾國傾城,傾城傾國
427	亞太	1411	14	中東,北歐,北非
428	圖文	1411	2	專文,文案
429	電子版	1411	8	修訂本,修訂版,出版物
430	總線	1407	22	主幹線,主線,交通線
431	工業區	1406	46	住宅區,佔領區,分佈區
432	總價	1406	55	代價,作價,優惠價
433	自來水	1406	28	井水,枯水,死水
434	二手車	1405	53	三輪車,出租車,加長
435	恨不得	1405	17	企足而待,夢寐以求,巴不得
436	緬甸	1405	156	不丹,中非共和國,丹麥
437	過日子	1405	9	吃飯,安家立業,度日
438	遙控器	1405	82	傳感器,充電器,冷卻器
439	塗抹	1404	11	上,刷,塗
440	底盤	1404	9	寶座,底座,座
441	流淌	1404	5	橫流,注,流
442	供需	1401	1	供求
443	午後	1401	3	下午,下半天,下半晌
444	劑量	1400	42	價值量,儲藏量,儲量
445	化肥	1400	1	化學肥料
446	元寶	1399	14	光洋,大洋,大頭
447	大選	1398	9	初選,改選,普選
448	參與者	1397	1	參賽者
449	漂流	1397	23	亂離,四海為家,懸浮
450	用量	1394	1	使用數量
451	用人	1393	1	用工
452	教主	1392	5	主教,修士,修女
453	普查	1392	2	破案,追查
454	頭銜	1392	3	職稱,職銜,銜
455	外商	1391	16	供應商,出口商,出版商
456	奧林匹克	1390	2	奧運,奧運會
457	方向盤	1390	1	舵輪
458	葡萄牙	1390	156	不丹,中非共和國,丹麥
459	金子	1390	2	金,黃金
460	下月	1388	3	下一步,下半年,下週
461	豆瓣	1388	4	菽,豆,豆子
462	學生會	1386	22	三合會,互助會,公會
463	影迷	1386	9	戲迷,書迷,棋迷
464	展覽會	1384	42	人大,冬運會,午餐會
465	血清	1384	8	淋巴球,白血球,紅細胞
466	強有力	1383	23	一往無前,人多勢眾,兵不血刃
467	廳長	1382	19	司法部長,司長,國防部長
468	本部	1381	8	基地,大本營,寨
469	高新技術	1381	1	高科技
470	規章	1380	6	例,典章,條例
471	戰鬥機	1379	2	殲擊機,驅逐機
472	世錦賽	1378	3	世界盃,亞運會,亞錦賽
473	原著	1378	4	專著,論著,譯著
474	測算	1377	34	乘除,划算,匡
475	當即	1377	25	即,即刻,即時
476	華語	1377	4	中文,國文,國語
477	烏克蘭	1376	156	不丹,中非共和國,丹麥
478	華僑	1376	4	外僑,歸僑,海外僑胞
479	冰淇淋	1375	1	冰激凌
480	書畫	1375	4	冊頁,墨寶,字畫
481	前不久	1374	10	以來,多年來,新近
482	單片機	1374	1	終端機
483	曲目	1374	2	戲目,戲碼
484	烹飪	1374	2	烹,烹調
485	全天	1373	1	半日
486	奶媽	1373	2	乳母,奶孃
487	成功率	1373	35	佔有率,入學率,利率
488	海拔	1372	1	高程
489	定金	1371	9	助學金,救濟金,滯納金
490	磁帶	1371	10	光盤,光碟,唱片
491	抽空	1370	3	偷空,偷閒,忙裏偷閒
492	押金	1369	6	代金,定錢,獎金
493	體育場	1368	2	操場,運動場
494	戰機	1367	4	客機,專機,座機
495	嚮導	1366	11	先導,前導,導
496	民航	1364	6	歸航,直航,續航
497	用工	1364	1	用人
498	盜竊	1363	13	偷,偷盜,偷竊
499	紡織品	1363	10	副產品,工業品,拳頭產品
500	下山	1362	2	下地,下鄉
