head	essay_frequency	syn_tails	syn_neighbors
天然氣	1993	15	光氣,地氣,廢氣,水煤氣,油氣
培訓班	1991	1	短訓班
郵編	1991	1	郵政編碼
項鍊	1991	6	鉸鏈,錶鏈,鐵鏈,項圈,頸鍊
初始	1988	20	上馬,下車伊始,初步,啓,始
原材料	1986	1	原料
殘疾人	1986	5	廢人,殘廢,殘缺,畸形兒,非人
老太太	1984	7	令堂,奶奶,姥姥,老大娘,老大媽
著作	1975	26	作,作品,作文,做,創作
蘿蔔	1972	4	白蘿蔔,菲,蔔,蘿
看中	1969	20	中意,合意,好聽,如意,如願以償
議案	1969	3	提案,方案,草案
寧夏	1967	29	內蒙古,台灣,吉林,四川,安徽
旨在	1960	5	心意,意志,意旨,旨意,法旨
錄製	1960	10	壓制,定做,定製,攝製,特製
不良	1957	27	不善,不好,不妙,不成,不行
中伏	1957	1	二伏
倒不如	1957	2	不如,與其
假裝	1957	9	作,作偽,佯,佯裝,偽裝
傳教	1957	4	佈道,傳道,説教,説法
傳染	1957	4	傳,招,染,污染
其間	1957	12	中,中間,之中,內,內部
到場	1957	12	出席,列席,到,到位,到會
前日	1957	2	前天,頭天
取笑	1957	11	嗤笑,嘲笑,寒傖,寒磣,恥笑
各個	1957	23	一一,以次,依次,列,各
圖形	1957	6	圖,圖樣,圖片,圖籍,圖紙
地頭	1957	5	地方,地面,本土,本地,當地
夢見	1957	8	夢,夢境,夢寐,夢幻,夢鄉
大不了	1957	5	不外,充其量,最多,至多,頂多
太陽穴	1957	3	丹田,人中,耳穴
對峙	1957	8	僵持,分庭抗禮,勢不兩立,對壘,對抗
局長	1957	19	司法部長,司長,國防部長,外交部長,外相
忍耐	1957	12	含垢忍辱,容忍,忍,忍受,忍氣吞聲
性命	1957	6	人命,命,活命,生,生命
意圖	1957	8	企圖,作用,來意,圖,意
意大利	1957	156	不丹,中非共和國,丹麥,也門,亞美尼亞
打拳	1957	1	練拳
打轉	1957	12	兜,團團轉,打圈,旋,旋轉
抗議	1957	2	反抗,對抗
拉鍊	1957	1	拉鎖
招手	1957	1	招
數據	1957	8	多寡,多少,數,數目,數碼
昆蟲	1957	2	蟲,蟲子
明信片	1957	3	平信,掛號信,航空信
棺材	1957	6	木,材,棺,棺木,棺槨
椰子	1957	1	椰
櫥窗	1957	8	吊窗,天窗,氣窗,玻璃窗,百葉窗
武力	1957	23	三軍,人馬,兵力,兵馬,大軍
沒法	1957	8	不得已,可望而不可及,有心無力,無可奈何,無奈
沒錯	1957	22	不利,不易,不錯,冇錯,天經地義
清明	1957	103	亮,亮光光,亮堂,亮堂堂,亮錚錚
火光	1957	22	冷光,北極光,反光,可見光,寒光
異物	1957	16	屍,屍首,屍體,死人,死屍
當做	1957	10	作,作為,同日而語,用作,當
相關	1957	10	唇齒相依,息息相關,有關,相干,系
眼罩	1957	4	口罩,牀罩,紗罩,蓋頭
笑臉	1957	5	一顰一笑,笑容,笑影,笑貌,笑顏
統治	1957	11	在位,執政,拿權,掌印,掌權
緊貼	1957	11	促,倚,偎,偎依,就
