rank	head	essay_frequency	syn_tails	syn_neighbors
98	男兒	2135	10	丈夫,士,壯漢,官人,漢
99	看似	2135	14	像樣,八九不離十,切近,好像,彷彿
100	睡覺	2135	10	上牀,困,安息,安歇,寐
101	示威	2135	6	批鬥,絕食,總罷工,自焚,請願
102	紳士	2135	3	士紳,縉,鄉紳
103	老友	2135	8	故交,故人,故舊,老朋友,舊
104	致命	2135	4	殊死,決死,沉重,浴血
105	蜜糖	2135	2	蜂蜜,蜜
106	行事	2135	13	一言一行,作為,做事,勞作,工作
107	裝置	2135	10	安,安裝,安設,裝,裝備
108	親王	2135	5	公爵,攝政王,王公,王爺,諸侯
109	言論	2135	4	發言,談話,論,議論
110	詞語	2135	3	用語,辭,辭藻
111	賭場	2135	2	賭窟,賭窩
112	通話	2135	1	打電話
113	進度	2135	4	快,快慢,速,速度
114	道具	2135	21	交通工具,化裝,場記,廚具,效果
115	閣下	2135	3	同志,足下,駕
116	霧氣	2135	3	氛,霧,霧靄
117	食指	2135	11	丁,二拇指,人,人丁,人口
118	驚動	2135	12	侵擾,幹擾,打擾,打攪,搗亂
119	商機	2134	4	可乘之機,天時地利,生機,良機
120	績效	2126	9	實效,工效,時效,療效,肥效
121	杯子	2125	4	杯,海,盅,盞
122	憑證	2124	11	信,信物,左證,憑,憑信
123	英寸	2123	3	碼,英尺,英里
124	經紀人	2120	10	商,商人,商户,商販,商賈
125	電子郵件	2118	1	電郵
126	價值觀	2117	5	傳統,思想意識,歷史觀,絕對觀念,觀念
127	長達	2114	9	久,修,修長,條,永
128	分局	2113	11	司,室,局,廳,科
129	獲獎	2107	2	受獎,得獎
130	協作	2106	4	合作,搭夥,搭檔,通力合作
131	服務員	2105	6	侍應生,侍者,夥計,女招待,招待員
132	複印件	2103	1	抄件
133	京城	2101	9	上京,京,京師,京都,北京
134	研究院	2101	12	上議院,下議院,下院,參議院,國務院
135	先是	2099	3	率先,第一,首先
136	甘肅	2098	29	內蒙古,台灣,吉林,四川,安徽
137	信貸	2096	24	信用,債款,價款,分期付款,匯款
138	蒸汽	2096	5	水汽,水蒸氣,水蒸汽,汽,蒸氣
139	綠化	2095	49	出版業,副業,化工,印刷業,土建
140	載體	2095	6	載人,載客,載波,載貨,載運
141	琢磨	2094	56	切磋琢磨,刻,勒,動腦筋,參酌
142	老年人	2094	14	叟,父,翁,老,老人
143	長安	2094	115	上海,亳,仰光,佛山,倫敦
144	着力	2093	35	一力,不遺餘力,中堅,中心,主導
145	論證	2091	3	實證,立據,論據
146	保姆	2084	6	女傭,女僕,媽,孃姨,老媽子
147	在外	2081	2	在內,在前
148	既是	2079	2	既,既然
149	標準化	2075	18	原則,口徑,基準,尺度,尺碼
150	顆粒	2067	3	砟,粒,豆子
151	寫真	2066	6	傳真,實像,寫實,畫像,真影
152	不在乎	2064	21	一笑置之,付之一笑,冷淡,吊兒郎當,大大咧咧
153	電影院	2063	2	影劇院,影院
154	模具	2059	1	胎具
155	主編	2057	1	主婚人
156	研討會	2056	42	人大,冬運會,午餐會,博覽會,嘉年華會
157	出具	2053	1	出示
158	南北	2050	13	中下游,中南部,兩岸,北部,大江南北
159	支行	2048	16	分,分公司,分層,分店,分支
160	單價	2047	55	代價,作價,優惠價,出價,化合價
161	不外乎	2046	18	包,包括,包羅,囊括,席捲
162	五月	2046	2	五月份,仲夏
163	停下	2046	26	下馬,休,休止,住,偃旗息鼓
164	儀器	2046	4	儀,儀表,表,計
165	儀式	2046	7	儀,典,典禮,式,慶典
166	凝望	2046	15	凝眸,凝視,只見,定睛,注目
167	出走	2046	1	離家出走
168	出身	2046	4	家世,身家,門户,門第
169	剎那間	2046	33	一下,一下子,一剎那,一念之差,一時間
170	力氣	2046	6	力,勁,勁頭,氣力,能量
171	包紮	2046	15	勒,扎,打,捆,捆綁
172	十二月	2046	1	臘月
173	各式	2046	25	公式,分子式,哥特式,噴氣式,填鴨式
174	和尚	2046	8	僧,僧侶,僧徒,沙彌,行者
175	和服	2046	9	制服,套服,套裝,官服,工作服
176	咒語	2046	2	咒,符咒
177	在下	2046	9	不才,不肖,僕,區區,小人
178	報案	2046	12	先斬後奏,告密,告發,報修,報廢
179	太子	2046	7	儲君,春宮,東宮,殿下,王儲
180	奈何	2046	2	奈,無奈何
181	娛樂	2046	15	娛,嬉,嬉戲,嬉水,戲
182	學術	2046	3	墨水,學,學問
183	安全帶	2046	22	佩,佩帶,佩戴,傳送帶,別
184	左下角	2046	6	右上方,右上角,右下方,左上方,左上角
185	心思	2046	33	來頭,勁,勁頭,動機,心境
186	戒心	2046	1	警惕性
187	打中	2046	4	中,命中,擊中,歪打正着
188	斜路	2046	12	冤枉路,出路,去路,後塵,後路
189	旁人	2046	3	人家,他人,別人
190	書院	2046	5	學塾,村塾,社學,私塾,館
191	洋娃娃	2046	22	七巧板,假面具,地黃牛,彈弓,拼圖
192	牙醫	2046	6	校醫,牙科醫生,獸醫,西醫,赤腳醫生
193	用途	2046	3	用,用場,用處
194	登出	2046	11	上,刊,刊登,刊載,報載
195	監察	2046	4	監控,監督,督,督察
196	監獄	2046	16	囚室,囚牢,囚籠,囹圄,地牢
197	空位	2046	19	井位,停車位,價位,原位,噸位
198	羽毛	2046	4	毛,羽,羽絨,翎
199	背部	2046	5	後背,背,背脊,脊,脊樑
200	草草	2046	13	丟三落四,偷工減料,含含糊糊,含糊,掉以輕心
201	萬能	2046	11	全天候,全知全能,全能,多才多藝,左右開弓
202	親愛	2046	39	不分彼此,促膝,千絲萬縷,可親,如膠似漆
203	設備	2046	5	裝備,裝具,裝置,設施,配備
204	語調	2046	8	九宮,低調,宮調,曲調,格律
205	貓頭鷹	2046	1	鴟鵂
206	蹤影	2046	1	蹤跡
207	車程	2046	1	旅程
208	車頂	2046	8	尖頂,屋頂,桅頂,洪峯,灰頂
209	轆轆	2046	2	咕隆,軋
210	轟炸	2046	2	投彈,空襲
211	週年	2046	1	本命年
212	電車	2046	53	三輪車,二手車,出租車,加長,包車
213	預計	2046	3	前瞻,展望,預測
214	魔術	2046	2	幻術,戲法
215	麻醉	2046	4	毒害,流毒,荼毒,蠱惑
216	黑洞	2046	8	橋洞,涵洞,溶洞,無底洞,窗洞
217	搶劫	2045	22	劫,劫奪,劫掠,奪,奪走
218	修訂	2043	1	審訂
219	交警	2042	14	乘警,交通警,刑警,崗警,幹警
220	導向	2042	13	側向,動向,去向,導引,橫向
221	長相	2040	23	儀容,原樣,品貌,外貌,姿容
222	以至於	2034	4	以至,截至,直到,直至
223	產能	2033	17	光能,內能,動能,化學能,原子能
224	上調	2032	5	下調,對調,微調,調職,調離
225	諸如	2031	7	例如,像,如,比如,比如説
226	致使	2029	8	以致,促成,導致,引致,招
227	許可證	2027	3	執照,照,證照
228	繳費	2026	1	交費
229	南海	2021	13	亞得裏亞海,公海,加勒比海,地中海,東海
230	區間	2013	3	距離,間距,間隔
231	查收	2012	5	回收,抄收,招收,簽收,點收
232	水利	2006	2	水利工程,河工
233	電機	2006	3	發電機,電動機,馬達
234	吉他	2005	2	六絃琴,結他
235	餘額	2005	15	儲蓄額,全額,名額,員額,大額
236	不鏽鋼	2004	4	合金鋼,碳素鋼,錳鋼,鎳鋼
237	會議室	2003	29	候機室,候診室,候車室,化妝室,化驗室
238	核對	2002	16	審,審察,審批,審查,審核
239	海口	1999	24	井口,交叉口,出入口,出口,出海口
240	油價	1994	55	代價,作價,優惠價,出價,化合價
241	天然氣	1993	15	光氣,地氣,廢氣,水煤氣,油氣
242	培訓班	1991	1	短訓班
243	郵編	1991	1	郵政編碼
244	項鍊	1991	6	鉸鏈,錶鏈,鐵鏈,項圈,頸鍊
245	初始	1988	20	上馬,下車伊始,初步,啓,始
246	原材料	1986	1	原料
247	殘疾人	1986	5	廢人,殘廢,殘缺,畸形兒,非人
248	老太太	1984	7	令堂,奶奶,姥姥,老大娘,老大媽
249	著作	1975	26	作,作品,作文,做,創作
250	蘿蔔	1972	4	白蘿蔔,菲,蔔,蘿
251	看中	1969	20	中意,合意,好聽,如意,如願以償
252	議案	1969	3	提案,方案,草案
253	寧夏	1967	29	內蒙古,台灣,吉林,四川,安徽
254	旨在	1960	5	心意,意志,意旨,旨意,法旨
255	錄製	1960	10	壓制,定做,定製,攝製,特製
256	不良	1957	27	不善,不好,不妙,不成,不行
257	中伏	1957	1	二伏
258	倒不如	1957	2	不如,與其
259	假裝	1957	9	作,作偽,佯,佯裝,偽裝
260	傳教	1957	4	佈道,傳道,説教,説法
261	傳染	1957	4	傳,招,染,污染
262	其間	1957	12	中,中間,之中,內,內部
263	到場	1957	12	出席,列席,到,到位,到會
264	前日	1957	2	前天,頭天
265	取笑	1957	11	嗤笑,嘲笑,寒傖,寒磣,恥笑
266	各個	1957	23	一一,以次,依次,列,各
267	圖形	1957	6	圖,圖樣,圖片,圖籍,圖紙
268	地頭	1957	5	地方,地面,本土,本地,當地
269	夢見	1957	8	夢,夢境,夢寐,夢幻,夢鄉
270	大不了	1957	5	不外,充其量,最多,至多,頂多
271	太陽穴	1957	3	丹田,人中,耳穴
272	對峙	1957	8	僵持,分庭抗禮,勢不兩立,對壘,對抗
273	局長	1957	19	司法部長,司長,國防部長,外交部長,外相
274	忍耐	1957	12	含垢忍辱,容忍,忍,忍受,忍氣吞聲
275	性命	1957	6	人命,命,活命,生,生命
276	意圖	1957	8	企圖,作用,來意,圖,意
277	意大利	1957	156	不丹,中非共和國,丹麥,也門,亞美尼亞
278	打拳	1957	1	練拳
279	打轉	1957	12	兜,團團轉,打圈,旋,旋轉
280	抗議	1957	2	反抗,對抗
281	拉鍊	1957	1	拉鎖
282	招手	1957	1	招
283	數據	1957	8	多寡,多少,數,數目,數碼
284	昆蟲	1957	2	蟲,蟲子
285	明信片	1957	3	平信,掛號信,航空信
286	棺材	1957	6	木,材,棺,棺木,棺槨
287	椰子	1957	1	椰
288	櫥窗	1957	8	吊窗,天窗,氣窗,玻璃窗,百葉窗
289	武力	1957	23	三軍,人馬,兵力,兵馬,大軍
290	沒法	1957	8	不得已,可望而不可及,有心無力,無可奈何,無奈
291	沒錯	1957	22	不利,不易,不錯,冇錯,天經地義
292	清明	1957	103	亮,亮光光,亮堂,亮堂堂,亮錚錚
293	火光	1957	22	冷光,北極光,反光,可見光,寒光
294	異物	1957	16	屍,屍首,屍體,死人,死屍
295	當做	1957	10	作,作為,同日而語,用作,當
296	相關	1957	10	唇齒相依,息息相關,有關,相干,系
297	眼罩	1957	4	口罩,牀罩,紗罩,蓋頭
298	笑臉	1957	5	一顰一笑,笑容,笑影,笑貌,笑顏
299	統治	1957	11	在位,執政,拿權,掌印,掌權
300	緊貼	1957	11	促,倚,偎,偎依,就
301	繼承	1957	21	傳承,前僕後繼,前赴後繼,延續,後續
302	自身	1957	10	小我,己,我,本人,本身
303	落水	1957	14	一誤再誤,不思進取,不能自拔,吃喝玩樂,墮落
304	行業	1957	4	本行,業,行,行當
305	裝飾	1957	10	裝修,裝潢,裝璜,裝裱,裝飾品
306	要害	1957	48	一言九鼎,中心,主要,事關重大,典型
307	起行	1957	8	上路,出發,動身,啓程,登程
308	迷茫	1957	29	不明,依稀,影影綽綽,微茫,恍
309	送到	1957	1	送給
310	進發	1957	8	一往直前,上,上前,前進,向前
311	過往	1957	17	一來二去,交往,來來往往,來去,來回
312	過癮	1957	16	好過,安逸,安適,寫意,恬適
313	震撼	1957	9	動,感動,打動,撥動,撼
314	體諒	1957	3	原宥,諒,諒解
315	點心	1957	5	墊補,茶食,點,點補,點飢
316	黯然	1957	25	低沉,天昏地暗,幽暗,感傷,慘淡
317	星期天	1952	8	小禮拜,星期,星期日,禮拜,禮拜天
318	傻子	1950	7	二愣子,二百五,低能兒,傻帽,傻瓜
319	敢於	1948	48	一身是膽,不避艱險,出生入死,剽悍,劈風斬浪
320	用藥	1947	2	下藥,投藥
321	大城市	1946	1	大都會
322	出資	1945	5	出錢,慷慨解囊,掏腰包,掏錢,解囊
323	國際市場	1945	1	世界市場
324	寬度	1941	10	升幅,增幅,增長率,大幅度,寬
325	男孩子	1940	1	少男
326	大頭	1939	15	元寶,光洋,冤大頭,大洋,洋
327	中小	1937	6	不大不小,中,中型,中等,半大
328	隱患	1933	1	心腹之患
329	胎兒	1931	2	胎,胚胎
330	三維	1929	1	三度空間
331	做工	1927	1	幹活兒
332	壁紙	1926	41	仿紙,元書紙,圖紙,土紙,字紙
333	來得	1925	10	亮,出示,呈示,展示,形
334	序列	1925	8	列,排,班,行,行列
335	機動車	1920	54	三輪車,二手車,出租車,加長,包車
336	侷限	1917	2	受制,囿
337	鏡像	1912	1	鏡像站點
338	期刊	1908	4	刊,刊物,報,雜誌
339	船舶	1908	8	舟,舟楫,舡,舫,船
340	書法	1907	25	作法,做法,優選法,刀法,句法
341	核算	1907	1	核計
342	製成	1907	1	釀成
343	關愛	1907	8	眷顧,關切,關心,關懷,關懷備至
344	動畫片	1906	3	動畫,卡通,卡通片
345	首批	1901	22	伯,元,冠,初,初次
346	電氣	1899	15	光氣,地氣,天然氣,廢氣,水煤氣
347	傳感器	1897	82	充電器,冷卻器,分配器,加速器,助聽器
348	混凝土	1895	1	砼
349	看重	1892	27	仰觀,倚重,偏重,側重,刮目相待
350	製造商	1890	16	供應商,出口商,出版商,外商,官商
351	託管	1889	5	共管,套管,接管,監管,經管
352	服務業	1884	49	出版業,副業,化工,印刷業,土建
353	掛牌	1882	1	上市
354	來源於	1881	11	來,來源,來自,出自,導源
355	原油	1879	1	石油
356	派出	1879	13	使,叫,差,差使,差遣
357	開闢	1870	4	打開,開拓,開發,闢
358	並非	1868	11	不用,不要,休想,別,毫不
359	互動	1868	8	並行,互,互相,交互,彼此
360	人選	1868	5	人,人士,人氏,人物,士
361	佔據	1868	18	佔,佔有,佔用,壟斷,專
362	保齡球	1868	17	冰球,壘球,手球,排球,曲棍球
363	修補	1868	20	修,修修補補,修復,修整,修理
364	公元	1868	1	紀元
365	再三	1868	32	一再,三番五次,亟,再,勤
366	分成	1868	1	分為
367	到頭來	1868	15	到底,卒,好不容易,好容易,歸根到底
368	劇本	1868	3	本子,腳本,院本
369	力度	1868	41	亮度,傾斜度,光照度,剛度,加速度
370	動物園	1868	6	伊甸園,桑園,植物園,田莊,科學園
371	同黨	1868	2	一丘之貉,狐群狗黨
372	周身	1868	5	一身,全身,渾身,滿身,通身
373	商隊	1868	22	交響樂隊,儀仗隊,啦啦隊,國家隊,宣傳隊
374	城堡	1868	3	城建,堡,塢
375	場地	1868	23	僻地,兩地,半殖民地,原產地,場合
376	塞車	1868	16	人山人海,人滿為患,前呼後擁,摩肩接踵,擁擠
377	外界	1868	9	之外,以外,外,外側,外圍
378	多年	1868	11	常年累月,年久月深,年深月久,從小到大,成年累月
379	天花	1868	8	天花板,尾花,提花,紅花,落花
380	姐妹	1868	1	姊妹
381	尋求	1868	3	營,謀,謀求
382	巡邏	1868	7	哨,巡,巡查,巡行,巡視
383	帳篷	1868	6	帳幕,帷幄,帷幕,幕,篷
384	弱智	1868	11	一無所長,低能,凡庸,尸位素餐,差勁
385	心想	1868	27	動腦筋,合計,尋味,尋思,心諗
386	思念	1868	18	叨唸,思,思慕,思量,惦念
387	感冒	1868	5	傷風,傷風感冒,受寒,受涼,着涼
388	憔悴	1868	2	枯槁,面黃肌瘦
389	手工	1868	1	細工
390	手頭	1868	5	光景,境況,境遇,手下,手邊
391	打斜	1868	6	側,傾,傾斜,斜,歪
392	打發	1868	18	使,叫,差,差使,差遣
393	投放	1868	5	下,投,排放,施放,置之腦後
394	抽水	1868	4	濃縮,縮水,縮短,縮編
395	招數	1868	12	一手,伎倆,心數,心眼,手段
396	挑釁	1868	1	尋釁
397	救護車	1868	53	三輪車,二手車,出租車,加長,包車
398	教練	1868	4	教官,教頭,訓,訓練
399	施展	1868	3	施,玩,耍
400	明日	1868	11	他日,來日,前,將來,明
401	星期二	1868	2	禮拜二,週二
402	未曾	1868	17	一無,不曾,並未,尚未,從不
403	未能	1868	6	不能,不許,使不得,力所不及,無從
404	某些	1868	7	一些,一點,好幾,小半,少數
405	極點	1868	11	尖峯,巔峯,極,極端,極限
406	流程	1868	1	流水線
407	流逝	1868	4	光陰荏苒,無以為繼,荏苒,蹉跎
408	滲入	1868	18	乘虛而入,入,入院,切入,投入
409	演員	1868	6	伶,優,優伶,戲子,藝人
410	煙花	1868	2	焰火,煙火
411	熊熊	1868	38	兇,兇猛,凌厲,利害,劇
412	現今	1868	16	今,今天,今日,今昔,今朝
413	環視	1868	4	圍觀,掃描,掃視,環顧
414	發狂	1868	10	狂,痴,瘋,瘋狂,瘋癲
415	皇后	1868	2	娘娘,王后
416	真身	1868	16	人身,人體,肉身,肉體,肌體
417	神通	1868	1	三頭六臂
418	程序	1868	9	主次,先來後到,先後,序,次
419	空中	1868	5	上空,半空,半空中,空間,長空
420	符咒	1868	2	咒,咒語
421	結構	1868	3	佈局,構造,組織
422	緊接	1868	21	交接,對接,屬,接,接合
423	聲浪	1868	11	動靜,濤,籟,聲,聲音
424	職位	1868	5	位置,哨位,崗位,職,職務
425	腰部	1868	4	腰,腰桿子,腰眼,腰肢
426	袋鼠	1868	3	倉鼠,野鼠,鼯鼠
427	補救	1868	3	亡羊補牢,彌補,挽救
428	裝作	1868	9	作,作偽,佯,佯裝,假裝
429	規定	1868	2	確定,規程
430	解剖	1868	13	催眠,剖腹,化療,截肢,手術
431	診所	1868	5	病院,診療所,醫務室,醫務所,醫院
432	證實	1868	13	作證,印證,徵,應驗,求證
433	車廂	1868	1	艙室
434	逃生	1868	1	逃命
435	通心粉	1868	10	冷麪,壽麪,拌麪,擔擔麪,方便麪
436	鑽石	1868	3	金剛石,金剛鑽,鑽
437	開玩笑	1868	24	不值一提,不屑一顧,不足掛齒,不足道,不過如此
438	開眼	1868	3	張目,睜,睜眼
439	閘口	1868	19	井口,交叉口,出入口,出口,出海口
440	關頭	1868	9	之際,契機,節骨眼,轉折點,轉捩點
441	陷阱	1868	6	圈套,牢籠,鈎,阱,陷坑
442	雪花	1868	6	冰雪,白雪,雪,雪片,飛雪
443	青山	1868	2	翠微,蒼山
444	非禮	1868	6	不周,失禮,怠,怠慢,簡慢
445	飲水	1868	33	井水,暢飲,枯水,死水,污水
446	飲食	1868	8	伙食,口腹,夥,膳,膳食
447	騎兵	1868	19	保安隊,偵察兵,別動隊,工程兵,憲兵
448	鬆綁	1868	15	勒,包紮,扎,打,捆
449	地質	1867	1	地理
450	號召	1867	6	召,召喚,呼喚,喚起,感召
451	轉賬	1867	10	中轉,倒車,轉化,轉向,轉折
452	首屆	1867	22	伯,元,冠,初,初次
453	財政部	1863	14	內政部,公安部,分部,國防部,外交部
454	新區	1860	7	佔領區,墾區,教區,敵區,漁區
455	直銷	1860	20	代銷,供銷,促銷,傳銷,傾銷
456	座談會	1859	42	人大,冬運會,午餐會,博覽會,嘉年華會
457	絕跡	1856	5	告罄,滅絕,絕滅,罄盡,銷燬
458	大全	1855	10	全,全稱,兼備,完備,實足
459	錘子	1855	5	椎,榔,榔頭,槌,錘
460	邊界	1853	20	分界,國境,國門,地界,垠
461	牡丹	1852	3	國色天香,國花,牡丹花
462	還款	1852	4	償付,償還,還債,還貸
463	發佈會	1851	42	人大,冬運會,午餐會,博覽會,嘉年華會
464	看病	1850	13	就診,就醫,治,治病,治療
465	白雲	1848	2	浮雲,烏雲
466	動感	1847	18	來勁,充沛,奮發,帶勁,抖擻
467	進貨	1842	23	市,打,採購,採辦,置
468	團長	1841	10	副官,參謀長,司令員,師長,指導員
469	大都	1840	6	基本上,多,大半,大多,大抵
470	業務員	1840	16	保管員,協理員,售票員,審查員,審計員
471	現貨	1840	9	上等貨,俏貨,大路貨,存貨,搶手貨
472	做生意	1831	2	經商,賈
473	早飯	1829	1	早餐
474	繁體	1828	17	冗贅,冗雜,千絲萬縷,撲朔迷離,煩冗
475	基金會	1827	22	三合會,互助會,公會,協會,同學會
476	大酒店	1827	5	酒吧,酒家,酒店,酒樓,酒館
477	湊合	1827	36	七拼八湊,削足適履,勉勉強強,勉強,勉為其難
478	交付	1822	9	交,交由,交給,付,付出
479	代謝	1820	1	新陳代謝
480	表述	1812	6	抒,抒發,發揮,發表,表達
481	院士	1812	3	博士,博士後,大專
482	交互	1810	8	並行,互,互動,互相,彼此
483	買進	1810	23	市,打,採購,採辦,置
484	喝茶	1806	1	飲茶
485	原版	1805	8	修訂本,修訂版,出版物,初版,正版
486	日內	1805	3	不日,即日,在即
487	品位	1804	4	檔次,水平,水準,程度
488	青海	1803	29	內蒙古,台灣,吉林,四川,安徽
489	嫂子	1799	4	兄嫂,大嫂,嫂,嫂嫂
490	生產力	1799	2	戰鬥力,購買力
491	貴陽	1799	116	上海,亳,仰光,佛山,倫敦
492	蟲子	1795	2	昆蟲,蟲
493	人性化	1794	39	乳化,企業化,合法化,商業化,四化
494	劇組	1793	16	代表團,合唱團,外交團,女團,小集團
495	廠房	1791	8	公房,工房,氈房,民房,洋房
496	複印	1789	15	付印,刊印,套印,套色,影印
497	攝像機	1786	1	攝影機
498	侵害	1781	29	侵犯,侵蝕,侵越,傷,傷害
499	承包	1780	7	兜,兜攬,包,包攬,大包大攬
500	火車票	1780	4	支票,期票,港股,空頭支票
501	不免	1779	5	免不了,免不得,在所難免,未免,難免
502	不大	1779	18	小,小小,幽微,微,微乎其微
503	中等	1779	11	不大不小,中,中型,中小,中游
504	五顏六色	1779	17	五彩繽紛,五色繽紛,印花,多姿,多姿多彩
505	人才	1779	22	一表人材,丰姿,人材,佳人,冶容
506	以至	1779	4	以至於,截至,直到,直至
507	伴娘	1779	1	喜娘
508	作家	1779	4	大手筆,文學家,文宗,文豪
509	來源	1779	13	來,來源於,來自,出自,導源
510	修長	1779	11	久,修,大個,條,永
511	倒轉	1779	5	倒,反,反倒,反而,相反
512	做到	1779	24	一氣呵成,不負眾望,作出,到位,功德圓滿
513	傳真	1779	3	傳真電報,寫真,畫像
514	傷勢	1779	7	水勢,火勢,病勢,銷勢,雨勢
515	出演	1779	7	上,上台,上場,出台,出場
516	前夕	1779	3	前夜,昨夜,昨晚
517	助理	1779	12	下手,僚佐,副,副手,助手
518	半點	1779	29	一二,一星半點,一絲,一點兒,些微
519	口吻	1779	11	口器,口氣,口腕,口風,吻
520	口音	1779	5	土音,方音,話音,語音,鄉音
521	合唱	1779	7	清唱,獨唱,聯唱,視唱,説唱
522	吸吮	1779	10	吮,吮吸,吸,吸入,吸食
523	咕嚕	1779	10	呼嚕,咕唧,咕嘟,咕噥,唧噥
524	四月	1779	1	四月份
525	基本法	1779	20	保險法,公檢法,兵役法,刑事訴訟法,勞動法
526	報應	1779	3	因果,因果報應,報
527	契約	1779	9	券,單,單子,單據,字
528	好友	1779	13	執友,契友,好朋友,密友,忘年交
529	學歷	1779	3	同等學歷,履歷,簡歷
530	客場	1779	34	主場,停機坪,停車場,射擊場,廣場
531	實習	1779	1	見習
532	寶石	1779	8	明珠,珠翠,瑪瑙,瑰,紅寶石
533	小路	1779	4	便道,小徑,羊腸小道,蹊徑
534	工會	1779	22	三合會,互助會,公會,協會,同學會
535	廚師	1779	7	主廚,名廚,大師傅,庖,廚子
