literal	freq	pos	family	voice	note
人選	1868	n		
住響	1868	v		
作勢	1868	v		
兼職	1868	n,v		
再三	1868	r		
刨	1868	v		
到頭來	1868	r		
卦	1868	n		
印傭	1868	n		
右下角	1868	n		
同黨	1868	n		
周身	1868	n,r		
咒文	1868	n		
哞	1868	x		
唔在乎	1868	v		
商隊	1868	n		
啤梨	1868	n		
喉	1868	n		
塞車	1868	n,v		
填	1868	v		
墮	1868	v		
外界	1868	n		
多年	1868	n,r		
多心	1868	a,v		
大喝	1868	v		
大埔	1868	n		
失憶	1868	n,v		
好夜	1868	a,n,r		
好氣	1868	a		
師弟	1868	n		
帶嚟	1868	v		
弱智	1868	a,n		
心想	1868	v		
慮	1868	n,v		
手工	1868	a,n		
手頭	1868	n		
打冷震	1868	v		
打斜	1868	r,v		
打發	1868	v		
扮嘢	1868	v		
投放	1868	n,v		
招數	1868	n		
插班	1868	v		
揞	1868	v		
施展	1868	v		
早抖	1868	v,x		
智	1868	a,n		
未曾	1868	r		
本書	1868	n,x		
某些	1868	x		
柴	1868	n		
死火	1868	a,v		
死路	1868	n		
永不	1868	r		
流程	1868	n		
流行	1868	a,v		
淒涼	1868	a		
熊熊	1868	a,r		
狼狽	1868	a		
現今	1868	n,r		
理得	1868	v		
環視	1868	v		
畀錢	1868	v		
略	1868	a,n,r,v		
痰	1868	n		
皇后	1868	n		
監	1868	n,v		
知情	1868	a,v		
