literal	freq	pos	family	voice	note
雙唇	2758	n		
難以置信	2758	a	idiom	
飛刀	2758	n		
飲茶	2758	v		
館	2758	n		
高瘦	2758	a		
默	2758	a,v		
點先	2758	r,x		
長春	2753	n		
誰知道	2720	r,x		
來回	2714	n,r,v		
制約	2710	n,v		
評審	2710	n,v		
右鍵	2699	n		
改革開放	2683	n		
罵人	2679	v		
賈	2679	n		
申購	2676	n,v		
儂	2673	x		
體檢	2670	n,v		
不到	2669	r,v		
不妙	2669	a		
世事	2669	n		
仇	2669	n,v		
何必	2669	r,x		
使出	2669	v		
做主	2669	v		
偷笑	2669	v		
先好	2669	a,r		
兩手	2669	n		
公廁	2669	n		
凶	2669	a		
前途	2669	n		
動人	2669	a		
包容	2669	n,v		
匿	2669	v		
十仔	2669	n		
友人	2669	n		
右手邊	2669	n		
單單	2669	r		
嚟過	2669	v		
國內	2669	n		
太快	2669	a,r		
孫	2669	n		
寫低	2669	v		
尋	2669	v		
屬	2669	v,x		
帶有	2669	v		
幾錢	2669	r,x		
心動	2669	a,v		
忌	2669	n,v		
打贏	2669	v		
招式	2669	n		
收錢	2669	v		
放到	2669	v		
本地	2669	a,n		
校工	2669	n		
楚	2669	a,n		
樣樣	2669	n,r,x		
死黨	2669	n		
比卡超	2669	n		
浮	2669	a,v		
無敵	2669	a		
照舊	2669	r		
瓜	2669	n		
生理	2669	n		
私家	2669	a,n		
糊	2669	a,n,v		
緊身	2669	a		
緩慢	2669	a		
翻嚟	2669	v		
街燈	2669	n		
袍	2669	n		
註	2669	n,v		
趕時間	2669	v		
鐵塔	2669	n		
面試	2669	n,v		
飲杯	2669	v		
駁	2669	v		
齋	2669	a,n		
城區	2663	n		
凡是	2660	x		
志願者	2649	n		
輛	2649	x		
國家隊	2645	n		
便於	2643	v		
布什	2643	n		
應聘	2643	v		
上報	2633	v		
捨不得	2625	v		
僞	2624	a		
控股	2622	n,v		
抽菸	2621	v		
光驅	2615	n		
下線	2605	n,v		
查處	2603	v		
版權所有	2599	n,x		
公交車	2596	n		
整治	2592	v		
民工	2591	n		
怎麼回事	2589	x		
甲方	2589	n		
羅馬	2587	n		
自治區	2587	n		
獲悉	2585	v		
出貨	2582	n,v		
中環	2580	n		
亞視	2580	n		
仙	2580	a,n		
係路	2580	n,r		
先行	2580	r,v		
入夜	2580	v		
北行	2580	n,v		
卜	2580	n,v		
右手面	2580	n		
向前	2580	r,v		
喱士	2580	n		
嘅時	2580	r,x		
噓	2580	v,x		
嚓	2580	x		
境界	2580	n		
小腿	2580	n		
少有	2580	a,r		
尷	2580	a		
展	2580	n,v		
山頭	2580	n		
師妹	2580	n		
底衫	2580	n		
念	2580	n,v		
惡鬼	2580	n		
手尾	2580	n		
打工	2580	v		
打邊爐	2580	v		
技	2580	n		
抆	2580	v		
擦字膠	2580	n		
橫掂	2580	r		
水汪汪	2580	a		
況且	2580	x		
減	2580	v		
漱口	2580	v		
濟	2580	a,n,v		
獄警	2580	n		
白頭	2580	a,n		
眉頭	2580	n		
睇小	2580	v		
純真	2580	a		
紙皮	2580	n		
細膽	2580	a		
縱使	2580	x		
肉色	2580	a,n		
臻	2580	v		
薛	2580	n		
藥膏	2580	n		
蛀	2580	v		
蟻	2580	n		
許	2580	n,v,x		
詭異	2580	a		
話口未完	2580	r,x	idiom	
認定	2580	v		
豉油	2580	n		
跟手	2580	r		
踏入	2580	v		
身手	2580	n		
軟弱	2580	a		
邨	2580	n		
開房	2580	v		
隊伍	2580	n		
順眼	2580	a		
驚呼	2580	v		
髏	2579	u			骷髏殘字
祕	2579	a,n		
災區	2572	n		
中山	2568	n		
南昌	2568	n		
處在	2561	v		
黃河	2555	n		
只需要	2552	r,v		
怪不得	2548	r,x		
領取	2548	v		
企業家	2525	n		
交換機	2524	n		
演唱	2518	n,v		
老鄉	2517	n		
總監	2514	n		
太平洋	2512	n		
勞動力	2500	n		
加息	2494	n,v		
打折	2494	v		
化工	2493	n		
一旁	2491	n,r		
上台	2491	v		
上心	2491	a,v		
不但	2491	x		
不約而同	2491	a,r	idiom	
不行	2491	a,v		
中秋節	2491	n		
事先	2491	r		
你仲記	2491	u			主+仲+V 截斷
依邊	2491	n,r		
修	2491	n,v		
偷襲	2491	n,v		
儀	2491	n		
兼容	2491	a,v		
冒	2491	v		
厹	2491	v		
古	2491	a,n		
司	2491	n,v		
哀傷	2491	a,n		
哲學	2491	n		
問號	2491	n		
嗶	2491	x		
嘖	2491	x		
學人	2491	n		
對眼	2491	a,v		
帳	2491	n		
後人	2491	n		
心虛	2491	a		
恐龍	2491	n		
愛心	2491	n		
援交	2491	n,v		
武術	2491	n		
死八婆	2491	n		
比喻	2491	n,v		
民主	2491	a,n		
洩	2491	v		
漂亮	2491	a		
煮飯仔	2491	n		
牙仔	2491	n		
當成	2491	v		
發惡	2491	v		
皆	2491	r,x		
眼球	2491	n		
砵	2491	n		
神偷	2491	n		
私隱	2491	n		
種種	2491	a,x		
竟	2491	r		
竹	2491	n		
筋	2491	n		
粗糙	2491	a		
紛紛	2491	r		
細小	2491	a		
肉麻	2491	a		
胃口	2491	n		
蒸	2491	v		
行政	2491	n		
見牙唔見眼	2491	a,v	idiom	
言語	2491	n		
識到	2491	v		
貪玩	2491	a		
趕到	2491	v		
這次	2491	n,r		
間尺	2491	n		
隨意	2491	a,r		
