literal	pos	family	voice	note	trust	verdict	fix_pos	fix_family	audit_note
多彩多姿	a	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
大吃大喝	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
大徹大悟	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
夾手夾腳	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
學士學位	n			p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			非熟語 n
屢戰屢敗	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
屢敗屢戰	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
後知後覺	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
成千成萬	a,r	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
挨門挨户	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
探頭探腦	a	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	SOFT			a 可；亦 v
敢作敢為	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
敢作敢當	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
新人新事	n	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
旅進旅退	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
日復一日	r	idiom		p2-idiom:AxxA;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
時大時小	a,r	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
時斷時續	a,r	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
沒日沒夜	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	SOFT			a,r 亦可
活學活用	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
滑頭滑腦	a	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
腳痛醫腳	v	idiom		p2-idiom:AxxA;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
自動自發	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
至始至終	r	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
親力親為	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
賊頭賊腦	a	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
逐字逐句	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	BAD	r		方式副；非 a,v
雙宿雙飛	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
電子電路	n			p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			術語 n；非熟語
風言風語	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	BAD	n		閒話名詞；非 a,v
鬥智鬥力	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
