literal	pos	family	voice	note	trust	verdict	fix_pos	audit_note
崢嶸歲月	n	idiom		u-inlex-nf3;review;agent-label	high	OK		
幸福家庭	n			u-inlex-nf3;review;agent-label	high	OK		
後天	n,r			u-inlex-nf3;review;agent-label	high	SOFT		n,r 多義可
心猿意馬	a,v	idiom		u-inlex-nf3;review;agent-label	high	OK		
心胸狹窄	a			u-inlex-nf3;review;agent-label	high	OK		
忠心耿耿	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
懸崖峭壁	n			u-inlex-nf3;review;agent-label	high	OK		
戰國時代	n			u-inlex-nf3;review;agent-label	high	OK		
捕風捉影	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
改朝換代	n,v	idiom		u-inlex-nf3;review;agent-label	high	OK		
放蕩不羈	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
旋轉餐廳	n			u-inlex-nf3;review;agent-label	high	OK		
明辨	v			u-inlex-nf3;review;agent-label	high	OK		
昏迷不醒	a,v			u-inlex-nf3;review;agent-label	high	OK		
暗無天日	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
止跌回升	v			u-inlex-nf3;review;agent-label	high	OK		
步調一致	a			u-inlex-nf3;review;agent-label	high	OK		
死於非命	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
沒有差別	a			u-inlex-nf3;review;agent-label	high	OK		
河東獅吼	n,v	idiom		u-inlex-nf3;review;agent-label	high	OK		
滿城風雨	n	idiom		成語；滿城風雨;u-inlex-nf3;review;agent-label	high	OK		
燃煤鍋爐	n			u-inlex-nf3;review;agent-label	high	OK		
爭強好勝	a,v	idiom		u-inlex-nf3;review;agent-label	high	OK		
爭論不休	a,v			u-inlex-nf3;review;agent-label	high	OK		
生物材料	n			u-inlex-nf3;review;agent-label	high	OK		
生物防治	n			u-inlex-nf3;review;agent-label	high	OK		
畫蛇添足	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
瘦骨嶙峋	a			u-inlex-nf3;review;agent-label	high	OK		
白道	n			u-inlex-nf3;review;agent-label	high	OK		
睡眼惺忪	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
私產	n			u-inlex-nf3;review;agent-label	high	OK		
移花接木	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
立體幾何	n			u-inlex-nf3;review;agent-label	high	OK		
第二職業	n			u-inlex-nf3;review;agent-label	high	OK		
精力旺盛	a			u-inlex-nf3;review;agent-label	high	OK		
精神飽滿	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
紀念郵票	n			u-inlex-nf3;review;agent-label	high	OK		
約束條件	n			u-inlex-nf3;review;agent-label	high	OK		
終身大事	n	idiom		u-inlex-nf3;review;agent-label	high	OK		
維持秩序	v			u-inlex-nf3;review;agent-label	high	OK		
縮成一團	v			u-inlex-nf3;review;agent-label	high	OK		
胎死腹中	a,v	idiom		u-inlex-nf3;review;agent-label	high	OK		
胡志明市	n			u-inlex-nf3;review;agent-label	high	OK		
能量代謝	n			u-inlex-nf3;review;agent-label	high	OK		
自取其辱	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
草木皆兵	a,v	idiom		成語；草木皆兵;u-inlex-nf3;review;agent-label	high	OK		
薩爾瓦多	n			u-inlex-nf3;review;agent-label	high	OK		
虛張聲勢	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
西班牙文	n			u-inlex-nf3;review;agent-label	high	OK		
觸礁	n,v			u-inlex-nf3;review;agent-label	high	OK		
課外讀物	n			u-inlex-nf3;review;agent-label	high	OK		
變化莫測	a,v	idiom		u-inlex-nf3;review;agent-label	high	OK		
豪情萬丈	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
財大氣粗	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
走下坡	v			u-inlex-nf3;review;agent-label	high	OK		
車牌號碼	n			u-inlex-nf3;review;agent-label	high	OK		
軟弱無力	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
輻射防護	n			u-inlex-nf3;review;agent-label	high	OK		
遊人如織	a	idiom		成語；遊人如織;u-inlex-nf3;review;agent-label	high	OK		
雲岡石窟	n			u-inlex-nf3;review;agent-label	high	OK		
風雨交加	a,v	idiom		u-inlex-nf3;review;agent-label	high	OK		
高深莫測	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
高等法院	n			u-inlex-nf3;review;agent-label	high	OK		
黃道吉日	n			u-inlex-nf3;review;agent-label	high	OK		
齊聚一堂	v			u-inlex-nf3;review;agent-label	high	OK		
