literal	pos	family	voice	note	trust	verdict	fix_pos	audit_note
機緣巧合	n			u-inlex-nf2b;review;agent-label	high	OK		
民辦	a			u-inlex-nf2b;review;agent-label	high	OK		
水到渠成	a,v	idiom		u-inlex-nf2b;review;agent-label	high	OK		
淺淺	a,r			u-inlex-nf2b;review;agent-label	high	OK		
烏蘭察布	n			u-inlex-nf2b;review;agent-label	high	OK		
無機化學	n			u-inlex-nf2b;review;agent-label	high	OK		
無瑕	a			u-inlex-nf2b;review;agent-label	high	OK		
獨立思考	n,v			u-inlex-nf2b;review;agent-label	high	OK		
獨資	a,n			u-inlex-nf2b;review;agent-label	high	OK		
甄	n,v			u-inlex-nf2b;review;agent-label	high	OK		
生活條件	n			u-inlex-nf2b;review;agent-label	high	OK		
生物化學	n			u-inlex-nf2b;review;agent-label	high	OK		
登入	n,v			u-inlex-nf2b;review;agent-label	high	OK		
眼利	a			u-inlex-nf2b;review;agent-label	high	OK		
瞧不起	v			u-inlex-nf2b;review;agent-label	high	OK		
社會工作	n			u-inlex-nf2b;review;agent-label	high	OK		
福氣	n			u-inlex-nf2b;review;agent-label	high	OK		
科技成果	n			u-inlex-nf2b;review;agent-label	high	OK		
稀有金屬	n			u-inlex-nf2b;review;agent-label	high	OK		
稟	v			u-inlex-nf2b;review;agent-label	high	OK		
稱職	a			u-inlex-nf2b;review;agent-label	high	OK		
穿越時空	n,v			u-inlex-nf2b;review;agent-label	high	OK		
管理功能	n			u-inlex-nf2b;review;agent-label	high	OK		
簽收	v			u-inlex-nf2b;review;agent-label	high	OK		
綜藝	n			u-inlex-nf2b;review;agent-label	high	OK		
綠色植物	n			u-inlex-nf2b;review;agent-label	high	OK		
網絡環境	n			u-inlex-nf2b;review;agent-label	high	OK		
缺一不可	a,v	idiom		u-inlex-nf2b;review;agent-label	high	OK		
胰島素	n			u-inlex-nf2b;review;agent-label	high	OK		
自然環境	n			u-inlex-nf2b;review;agent-label	high	OK		
自由職業	n			u-inlex-nf2b;review;agent-label	high	OK		
草本植物	n			u-inlex-nf2b;review;agent-label	high	OK		
蕩然無存	a,v	idiom		u-inlex-nf2b;review;agent-label	high	OK		
衝破	v			u-inlex-nf2b;review;agent-label	high	OK		
見怪不怪	a,v	idiom		u-inlex-nf2b;review;agent-label	high	OK		
視頻點播	n			u-inlex-nf2b;review;agent-label	high	OK		
觸手可及	a	idiom		成語;u-inlex-nf2b;review;agent-label	high	OK		
調製	v			u-inlex-nf2b;review;agent-label	high	OK		
豪宅	n			u-inlex-nf2b;review;agent-label	high	OK		
財政預算	n			u-inlex-nf2b;review;agent-label	high	OK		
貳	x			u-inlex-nf2b;review;agent-label	high	SOFT		大寫數／虛
輕快	a			u-inlex-nf2b;review;agent-label	high	OK		
降級	n,v			u-inlex-nf2b;review;agent-label	high	OK		
預咗	v			u-inlex-nf2b;review;agent-label	high	OK		
驗	v			u-inlex-nf2b;review;agent-label	high	SOFT		v 主；亦可 n
驛站	n			u-inlex-nf2b;review;agent-label	high	OK		
鳥語花香	a,n	idiom		成語;u-inlex-nf2b;review;agent-label	high	OK		
黯然失色	a,v	idiom		成語;u-inlex-nf2b;review;agent-label	high	OK		
