literal	pos	family	voice	note	verdict_note
快遞	n,v			
一次過	r			
下意識	n,r			
乜鬼	n,x			
仲話	u				仲+話截斷
司馬	n			
地望	u				地+望碎片
天生	a,r			
失	n,v			
完涼	v			
強大	a			
易面	n			
有份	a,v			
正經	a			
氣息	n			
自慰	v			
餸	n			
驚喜	a,n			
浙江	n			
一把	n,r,x			
他說	u				人稱+說截斷
小區	n			
光頭	n			
半身	n			
囡	n			
師傅	n			
我成	u				主+成截斷
挨	v			
損	a,v			
死仔	n			
符	n			
花花	a,n			
講錯	v			
默默	a,r			
所在	n			
一身	n,r			
凳凳	n			
地道	a,n			
小貞同	u				專名+同截斷
愕然	a,r			
憂	a,v			
成世	n,r			
我明	u				主+明截斷
條命	n			
水水	a			
沙田	n			
澄澄	a			
