literal	pos	family	voice	note	verdict_note
阿詩	n				
韻	n				
認得	v				
雀仔	n				
觀衆	n				
夠膽	a,v				
宅	a,n,v				
請問	v,x				
代碼	n				
去了	v				
丸	n				
好難	a				
後便	n				
正正	r				
溫暖	a,n				
兔仔	n				
情	n				
柒	a,x				
矮	a				
講啦	v,x				
鋪	n,v				
劈	v				
匙羹	n				
十年	n,r				
嚟㗎	v,x				
捱	v				
朝早	n,r				
相處	v				
自覺	a,v				
莎莎	n				
道理	n				
遲到	a,v				
食嘢	v				
您的	u				代+的截斷
上網	v				
劫	n,v				
咗落	u				體標記+趨向截斷
啵	x				
揮手	v				
枉	a,r				
樹林	n				
白石鎮	n				
補習	n,v				
餅	n				
尤其	r				
掣	n				
曱	u				曱甴殘字
款	n,x				
甴	u				曱甴殘字
諗法	n				
講返	v				
爲止	x				
不乖	a				
你點	u				主+疑問截斷
兩位	x				
外國	n				
敏感	a				
身爲	v,x				
合	a,v				
就要	r,v				
大脾	n				
差啲	r				
次次	r				
求其	a,r				
物	n				
睇落	r,v				
域名	n				
吱	v,x				
幾年	n,r				
弊	a,n				
我入	u				主+動截斷
此時	n,r				
車站	n				
好大	a				
超人	n				
返個	u				動+量截斷
爲主	v,x				
吔	x				
咗嚟	u				體+趨向截斷
四個	x				
故仔	n				
溝通	n,v				
個陣	n,r				
嘿嘿	x				
地說	u				地+動分詞殘片
幾咁	r,x				
瘋	a,v				
科	n				
趁	v,x				
阿龍	n				
隨便	a,r				
難得	a,r				
的事	u				的+名截斷
勉強	a,r,v				
客氣	a,v				
是在	u				是+介截斷
寶	a,n				
有心	a,v				
林布	n				
結界	n				
身影	n				
過我	u				動／介+代截斷
也就	r,x				
放在	v				
頁面	n				
馬甲	n				
一班	n,x				
不要	v,x				
嘅話	x				
女孩	n				
牙刷	n				
我在	u				主+介／動截斷
讓你	u				使役+代截斷
要不	r,x				
都在	u				副+介截斷
做人	v				
咭	n				
思哥	n				
上便	n				
之一	x				
回復	n,v				
幅	x				
眼訓	v				
薯條	n				
阿洛	n				
不嬲	r				
乖乖	a,r,x				
同班	a,n				
周景臻	n				
商場	n				
想講	v				
笑笑口	a,r				
地要	u				地+動分詞殘片
好味	a				
微微	a,r				
條線	n				
無意	a,v				
精靈	a,n				
講我	u				動+代截斷
都要	r,v				
算了	v,x				
再說	r,v				
成了	v				
喔	x				
多個	a,x				
孖	a,n,v				
撐	v				
蘭卡特	n				
點啊	x				
南京	n				
下個	x				
又點	r,x				
暑假	n				
白兔	n				
眯	v				
篤	v				
總算	r				
呯	x				
唔怪得	r,x				
噗	x				
明知	v				
此刻	n,r				
粗口	n				
耳邊	n				
話說	v,x				
也會	r,v				
一時間	r				
我怕	u				主+動截斷
阿俊	n				
阿盈	n				
也要	r,v				
唔知幾	r				
就像	v,x				
做嘢	v				
兩年	n,r				
千秋	n				
報警	v				
太多	a,r				
幾次	n,r				
弱	a				
沈澈	n				
越來越	r				
都不	u				副+否截斷
一嘢	r				
基本	a,n,r				
我嗰	u				主+指截斷
爽	a				
趕	v				
通	a,v				
隊長	n				
我不	u				主+否截斷
數據庫	n				
咱們	x				
一生	n,r				
好朋友	n				
摺	n,v				
洲	n				
看更	n,v				
確實	a,r				
臨	v,x				
落車	v				
錄音	n,v				
乳頭	n				
依種	x				
出奇	a,r				
張床	n				
待續	v,x				
悶	a,v				
爭	v				
細路仔	n				
西瓜	n				
香香	a,n				
人會	u				名+助／能截斷
作出	v				
冇用	a				
幫到	v				
拗	v				
睬	v				
自動	a,r				
講咗句	u				動+體+量截斷
金字塔	n				
不了	x				
之類	x				
伏	a,n,v				
你估	u				主+動截斷
偷偷	r				
咳咳	x				
峻	a,n				
最終	r				
做了	v				
在線	a,r				
幫我	u				動+代截斷
成都	n				
對了	a,x				
一支	x				
任	n,v,x				
低頭	v				
傳出	v				
先知	n,v				
剝	v				
將個	u				介／副+量截斷
曳曳	a				
水喉	n				
無謂	a				
開學	v				
靈風	n				
係噉	r,x				
兔兔	n				
啤	n,v				
夠鐘	a,v				
盛	a,v				
來看	v				
京香	n				
摟	v				
眼見	r,v				
言	n,v				
過咗	v				
鈴	n				
骷髏	n				
黐	a,v				
買了	v				
是一種	u				是+量截斷
及其	x				
個心	n				
書生	n				
校	n,v				
白白	a,r				
蔣	n				
共	r,x				
冇嘢	n,x				
原	a,n,x				
純	a				
萍	n				
落到	v				
更多的	u				形+的截斷
人的	u				名+的截斷
各自	r,x				
就將	u				副+介截斷
我條	u				主+量截斷
王胤瀅	n				
藥水	n				
衣	n				
有了	v				
入嚟	v				
命	n				
嘔	v				
忽	r,v				
我嚟	u				主+動截斷
聖賢	n				
還有	v,x				
一下子	r				
口氣	n				
嘢食	n				
希	n,v				
深深	a,r				
菲兒	n				
過得	v				
即可	r,x				
一人	n,x				
可樂	n				
咗一個	u				體+數量截斷
嘅樣	n,x				
好返	a,v				
焗	a,v				
爲食	a				
號碼	n				
從而	x				
再問	v				
咗入	u				體+趨向截斷
煲	n,v				
第日	n,r				
蔣泳	n				
返轉頭	v				
爲何	r,x				
一睇	v				
再望	v				
厠	n				
吹水	v				
大樹	n				
怕醜	a				
成班	n,x				
洗頭水	n				
無比	a,r				
蕹	n				
這是	u				指+動截斷
非	a,x				
點做	v,x				
用於	v,x				
應當	v,x				
咁上下	a,r				
如何	r,x				
尖	a,n				
心裡	n				
手仔	n				
架車	n				
軟	a				
開頭	n,r,v				
雙腳	n				
來到	v				
多了	a,v				
最大的	u				形+的截斷
它的	u				代+的截斷
就在	r,x				
一方面	r,x				
一道	n,r				
你識	u				主+動截斷
凌嘯峰	n				
地講	u				地+動分詞殘片
