literal	pos	family	voice	note	verdict_note
我想問	u				主謂短語截斷
手手	n				
捧	v				
播	v				
敏	a,n				
日常	a,n				
條路線	n				
紅綠燈	n				
網	n,v				
蕩	v				
詠	n,v				
資訊	n				
跳樓	v				
辣	a				
阿志	n				
黑妹	n				
歲的	u				歲+的碎片
在此	r,x				
沒有什麼	x				
青島	n				
廈門	n				
說是	u				動+係截斷
或是	x				
模板	n				
和我	u				介+人稱截斷
一對	n,x				
一於	r				
乜事	n,x				
人心	n				
以及	x				
保安	n,v				
唔只	r				
唯獨	r				
堅定	a,v				
好煩	a				
實際上	r				
廿	x				
思講	u				動+動截斷／不明
我並	u				人稱+副截斷
打交	v				
求救	v				
狠	a				
玩緊	v				
痾	v				
白雪	n				
瞪	v				
講句	v				
足以	r,v				
錯愕	a				
雙方	n				
江蘇	n				
是指	v				
那就是	x				
首頁	n				
把我	u				介+人稱截斷
還得	r,v				
很高	a				
將在	u				副+介截斷
九點	n,x				
全程	n,r				
咗件	u				完成+量截斷
嘢講	u				名+動截斷
噠	x				
夫人	n				
常	a,r				
張彥	n				
成條	x				
捲	v				
殘	a				
每一	x				
禁	n,v				
突如	u				突如其來截斷
緩緩	r				
羨慕	v				
般	x				
黑人	n				
出臺	n,v				
分爲	v				
大連	n				
職工	n				
每個人	n,x				
全省	n				
賬戶	n				
較爲	r				
請您	v				
一會	n,r				
一絲	n,x				
人講	u				名+動截斷
他在	u				人稱+介截斷
停手	v				
全場	n				
八點	n,x				
前方	n				
包包	n				
士	n				
巴黎	n				
彷彿	r,v				
愛我	u				動+人稱截斷
抑或	x				
搖搖頭	v				
旗袍	n				
晴晴	n				
欣	a,n				
漫	a,v				
留言	n,v				
眉	n				
睇醫生	v				
纏	v				
訓教	v				
話晒	v				
講個	u				動+量截斷
踢波	v				
阿公	n				
我看	u				人稱+動截斷
也很	u				副連用截斷
等着	v				
是從	u				係+介截斷
黨的	u				名+的截斷
是不	u				係+否截斷
是誰	x				
說說	v				
上了	v				
一段時間	n				
一大堆	n,x				
何	x				
在乎	v				
大鑊	n				
好慘	a				
實力	n				
提碑	u				罕／不明
播放	n,v				
星月	n				
猜	v				
知講	u				動+動截斷
總是	r				
美麗	a				
聽朝	n,r				
英	a,n				
豪仔	n				
開聲	v				
電筒	n				
老百姓	n				
要有	u				能願+動截斷
下了	v				
改爲	v				
一吓	r,x				
人群	n				
哩樣	x				
嗰間	x				
回事	n				
墊	n,v				
大班	n				
我過	u				人稱+動截斷
朵	x				
沈	n,v				
沙灘	n				
磨擦	n,v				
籃	n				
茶點	n				
要講	v				
車轆	n				
轉眼	r,v				
返入	v				
達	n,v				
高級	a				
版主	n				
開發商	n				
沒錢	a,v				
你有	u				人稱+動截斷
手裏	n				
溼潤	a				
較高	a				
做什麼	v,x				
一臺	x				
一同	r				
三點	n,x				
上行	n,v				
中指	n				
依件	x				
入邊	n,x				
冇計	a,v				
北山	n				
嘔心	a				
嘥	v				
嘴巴	n				
大笨象	n				
安	a,n,v				
小心翼翼	a,r				
己	x				
打波	v				
機機	n				
波鞋	n				
理所當然	a,r				
穩	a				
行返	v				
衝入	v				
親眼	r				
運營	n,v				
重心	n				
阿信	n				
隨手	r				
難受	a				
雪白	a				
靈力	n				
食食	v				
鳳凰	n				
瀏覽器	n				
我市	n				
還行	a				
好不好	a,x				
那時候	n,r				
湖南	n				
後臺	n				
的新	u				的+形截斷
很好的	a				
讓她	u				使役+人稱截斷
倒數	n,v				
先有	u				副+動截斷
再加	v				
刷牙	v				
前行	v				
單嘢	n				
好多嘢	n				
孫仔	n				
就夠	a,r				
展文	n				
心怡	a,n				
棉花	n				
棟	n,x				
特殊	a				
畢	n,v				
睇法	n				
窒	v				
胸前	n				
著著	a,r				
親手	r				
貧	a				
起個	u				動+量截斷
醜怪	a				
鍚	n				
阿傑	n				
雙腿	n				
離遠	a,v				
年的	u				名+的截斷
