literal	pos	family	voice	note	verdict_note
要把	u			fragment 要+把	
抱着	v				
一般人	n				
仲講	u			fragment 仲+講	
低域	n			術語／域	
住部	u			截斷／罕	
依到	u			罕／截斷	
側	a,n,v				
兩個鐘	n,x			兩小時	
勇	a				
叫停	v				
咗人	u			fragment 咗+人	
哩度	x			呢度異寫	
套戲	n				
小事	n				
小小	a,r				
巴士站	n				
張俊謙	n			專名	
得人驚	a				
忠	a				
我仲要	u			fragment	
我塊面	u			fragment	
手邊	n				
打出	v				
攬實	v				
易面容	u			罕／不明	
有嘢	n,v			有事／有東西	
杖	n				
東京	n			地名	
氣質	n				
爭取	v				
爺	n				
碑	n				
窗外	n				
笠	n,v			帽／戴	
索性	r				
聽晚	n,r			明晚	
蕉	n				
行得	v				
裙裙	n				
要將	u			fragment 要+將	
話唔定	r,v			說不定	
講喇	v,x				
講講	v				
豬仔	n				
身旁	n				
轉角	n,v				
返房	v				
門外	n				
隨心	a,v				
面容	n				
頭頭	n,r			頭頭／每每	
飄	v				
驚慌	a,v				
龜頭	n				
集成	n,v				
好啊	a,x				
會在	u			fragment 會+在	
羣體	n				
報表	n				
一系列	n,x				
很喜歡	v				
沒有任何	r,v				
去看	v				
峯	n				
人都	u			fragment 人+都	
七彩	a,n				
任由	v				
低聲	a,n,r				
你記	u			fragment 你+記	
個天	n,x			個+天	
先算	v				
公子	n				
利	a,n,v				
到家	a,v			到家／到位	
咗部	u			fragment 咗+部	
地將	u			fragment …地+將	
地用	u			fragment …地+用	
埋眼	v			閉眼	
多人	a,n				
好多人	a,n				
婉玲	n			專名	
寧風	n			專名	
從未	r				
忍心	a,v				
我扮	u			fragment 主+動	
敏姨	n			專名	
數碼	a,n				
早知	r,v				
條頸	n				
由細到	u			由細到大截	
眼甘甘	a				
神色	n				
質素	n				
關我事	v,x				
阿茵	n			專名	
黑社會	n				
黑袍	n				
等我	v				
發貨	v				
女的	n				
構建	v				
毛澤東	n			專名	
和他	u			fragment 和+他	
有一種	u			fragment	
叫我	u			fragment 叫+我	
這兩天	n,r				
本週	n,r				
端口	n				
欄目	n				
都說	u			fragment 都+說	
就說	u			fragment 就+說	
是呀	x				
一如	r,v				
一落	r,v				
一部	n,x				
下低	n			下面	
不再	r				
仲想	u			fragment 仲+想	
佈	n,v				
住講	u			fragment 住+講	
你仲	u			fragment 你+仲	
依加	n,r			依家	
八卦	a,n,v				
凝重	a				
十二點	n,x			時刻	
喥	x			處所助	
嗰次	n,x				
大口	a,n				
好多時	r				
好講	a,v				
完個	u			fragment 完+個	
床邊	n				
想食	v				
懷念	v				
托	n,v				
拍過	v				
收銀	n,v				
朗朗	a,r				
杯杯	n				
標	n,v				
每人	n,x				
皇帝	n				
睡衣	n				
米奇	n			專名	
膝頭	n				
花灑	n				
行緊	v				
褲褲	n				
訓得	v			瞓得	
話事	v				
軒	n			名用字	
醫	n,v				
鋪頭	n			店舖	
阿姐	n				
陣陣	a,r				
靚靚	a,n				
體能	n				
你不是	u			fragment	
驗證碼	n				
是吧	x				
有關規定	n				
可以用	v				
對他	u			fragment 對+他	
要做	v				
住在	v				
請你	v				
我有	u			fragment 我+有	
走勢	n				
幹啥	v,x				
舞臺	n				
供應商	n				
聯通	n,v			通訊／專名	
調研	n,v				
經濟發展	n				
對其	u			fragment 對+其	
仔同	u			fragment 仔+同	
企響	v			企喺	
個種	x			嗰種	
倍	n,x				
假如	x				
兒童	n				
嘈交	v			吵架	
嘟嘟	n,x			擬聲／暱稱	
嘢㗎	x				
埋位	v			入座	
塘	n				
大隻佬	n				
女聲	n				
好識	a,v				
封信	n				
心心	a,n				
我份	u			fragment 我+份	
我信	u			fragment 主+動	
我個腦	u			fragment	
手心	n				
揹	v				
收聲	v				
敲門	v				
昇	v				
普通話	n				
未講	v				
歪	a,v				
每一個	x				
法師	n				
深刻	a				
漫澄	n			專名	
潛意識	n				
無常	a,n				
特工	n				
獸醫	n				
玉	n				
班會	n				
琳	n			名用字	
當我地	u			fragment 當我哋	
知會	v				
綠燈	n				
罩	n,v				
老味	n,x			粵嘆／語氣	
肥培	n			專名	
肥妹	n				
講多	u			fragment 講+多	
起勢	a,r			粵起勁	
醜樣	a,n				
醫療	n				
門鐘	n				
院	n				
餐肉	n				
鬆一口氣	v				
更有	u			fragment 更+有	
它是	u			fragment 它+是	
經銷商	n				
沒啥	v,x				
是最	u			fragment 是+最	
從小	r				
比較好	a				
的博客	u			fragment 的+博客	
這兩個	x				
是對	u			fragment 是+對	
稍爲	r				
你想	u			fragment 你+想	
長得	v				
黃色	a,n				
