literal	pos	family	voice	note	source	confidence
反	a			cow-single	cow	medium
會見	v			cow-single	cow	medium
小海	u			no-source	fallback	low
惡	n			cow-single	cow	medium
文	u			no-source	fallback	low
哈哈哈	u			no-source	fallback	low
詩詩	u			no-source	fallback	low
返起	v			verb-suffix	heuristic	medium
嘉浩	u			no-source	fallback	low
師	n			cow-single	cow	medium
幹嘛	u			no-source	fallback	low
我先	u			no-source	fallback	low
止	u			no-source	fallback	low
呼	u			no-source	fallback	low
一位	u			no-source	fallback	low
令人	u			no-source	fallback	low
那是	u			no-source	fallback	low
很好	v			verb-suffix	heuristic	medium
清	u			no-source	fallback	low
巨龍	u			no-source	fallback	low
求	v			cow-single	cow	medium
沒	r,x			heuristic	heuristic	high
擡頭	u			no-source	fallback	low
癡線	u			no-source	fallback	low
南	n			cow-single	cow	medium
銀茹	u			no-source	fallback	low
我估	u			no-source	fallback	low
阿銘	u			no-source	fallback	low
好心	u			no-source	fallback	low
娘	n			cow-single	cow	medium
因	u			no-source	fallback	low
想點	u			no-source	fallback	low
行過	v			verb-suffix	heuristic	medium
金零	u			no-source	fallback	low
我就	u			no-source	fallback	low
新的	u			no-source	fallback	low
美	u			no-source	fallback	low
讓人	u			no-source	fallback	low
公	u			no-source	fallback	low
麥當奴	u			no-source	fallback	low
兒	u			no-source	fallback	low
同個	u			no-source	fallback	low
每個	u			no-source	fallback	low
是啊	u			no-source	fallback	low
看了	u			no-source	fallback	low
量	u			no-source	fallback	low
知點	u			no-source	fallback	low
唔肯	u			no-source	fallback	low
來了	u			no-source	fallback	low
行去	v			verb-suffix	heuristic	medium
貴	u			no-source	fallback	low
好痛	u			no-source	fallback	low
肥龍	u			no-source	fallback	low
不會	u			no-source	fallback	low
小依	u			no-source	fallback	low
贏	v			cow-single	cow	medium
兩條	u			no-source	fallback	low
我忍	u			no-source	fallback	low
森宿	u			no-source	fallback	low
嵐嵐	u			no-source	fallback	low
那就	u			no-source	fallback	low
我想	u			no-source	fallback	low
形	u			no-source	fallback	low
講呢	u			no-source	fallback	low
變到	u			no-source	fallback	low
她的	u			no-source	fallback	low
好快	u			no-source	fallback	low
婆	u			no-source	fallback	low
一見	u			no-source	fallback	low
兩日	u			no-source	fallback	low
神祕	u			no-source	fallback	low
擡	u			no-source	fallback	low
你是	u			no-source	fallback	low
一晚	u			no-source	fallback	low
阿詩	u			no-source	fallback	low
做過	v			verb-suffix	heuristic	medium
同意	n,v			cow-multi	cow	medium
去了	u			no-source	fallback	low
好難	u			no-source	fallback	low
講啦	u			no-source	fallback	low
十年	u			no-source	fallback	low
莎莎	u			no-source	fallback	low
您的	u			no-source	fallback	low
咗落	u			no-source	fallback	low
此	x			heuristic	heuristic	high
白石鎮	u			no-source	fallback	low
講返	u			no-source	fallback	low
不乖	u			no-source	fallback	low
你點	u			no-source	fallback	low
兩位	u			no-source	fallback	low
物	u			no-source	fallback	low
弊	u			no-source	fallback	low
我入	u			no-source	fallback	low
好大	u			no-source	fallback	low
返個	u			no-source	fallback	low
咗嚟	u			no-source	fallback	low
四個	u			no-source	fallback	low
巨哥	u			no-source	fallback	low
個陣	u			no-source	fallback	low
地說	u			no-source	fallback	low
着住	v			verb-suffix	heuristic	medium
阿龍	u			no-source	fallback	low
的事	u			no-source	fallback	low
問下	v			verb-suffix	heuristic	medium
是在	u			no-source	fallback	low
嚴重	n			cow-single	cow	medium
林布	u			no-source	fallback	low
過我	u			no-source	fallback	low
陰	n			cow-single	cow	medium
也就	u			no-source	fallback	low
放在	u			no-source	fallback	low
一班	u			no-source	fallback	low
拖住	v			verb-suffix	heuristic	medium
我在	u			no-source	fallback	low
讓你	u			no-source	fallback	low
都在	u			no-source	fallback	low
思哥	u			no-source	fallback	low
眼訓	u			no-source	fallback	low
阿洛	u			no-source	fallback	low
周景臻	u			no-source	fallback	low
想講	u			no-source	fallback	low
軍	n			cow-single	cow	medium
地要	u			no-source	fallback	low
條線	u			no-source	fallback	low
講我	u			no-source	fallback	low
關	a,v			cow-multi	cow	medium
都要	u			no-source	fallback	low
成了	u			no-source	fallback	low
蘭卡特	u			no-source	fallback	low
又點	u			no-source	fallback	low
還	r,x			heuristic	heuristic	high
耳邊	u			no-source	fallback	low
話說	u			no-source	fallback	low
也會	u			no-source	fallback	low
做好	v			verb-suffix	heuristic	medium
我怕	u			no-source	fallback	low
滿意	a,n			cow-multi	cow	medium
阿俊	u			no-source	fallback	low
阿盈	u			no-source	fallback	low
也要	u			no-source	fallback	low
就像	u			no-source	fallback	low
兩年	u			no-source	fallback	low
太多	u			no-source	fallback	low
沈澈	u			no-source	fallback	low
都不	u			no-source	fallback	low
我嗰	u			no-source	fallback	low
我不	u			no-source	fallback	low
張床	u			no-source	fallback	low
香香	u			no-source	fallback	low
人會	u			no-source	fallback	low
幫到	u			no-source	fallback	low
講咗句	u			no-source	fallback	low
伏	u			no-source	fallback	low
咳咳	u			no-source	fallback	low
做了	u			no-source	fallback	low
幫我	u			no-source	fallback	low
對了	u			no-source	fallback	low
一支	u			no-source	fallback	low
將個	u			no-source	fallback	low
東	n			cow-single	cow	medium
靈風	u			no-source	fallback	low
一拳	u			no-source	fallback	low
兔兔	u			no-source	fallback	low
來看	u			no-source	fallback	low
京香	u			no-source	fallback	low
承認	n,v			cow-multi	cow	medium
言	u			no-source	fallback	low
過咗	u			no-source	fallback	low
買了	u			no-source	fallback	low
是一種	u			no-source	fallback	low
個心	u			no-source	fallback	low
落到	u			no-source	fallback	low
更多的	u			no-source	fallback	low
人的	u			no-source	fallback	low
就將	u			no-source	fallback	low
我條	u			no-source	fallback	low
王胤瀅	u			no-source	fallback	low
有了	u			no-source	fallback	low
我嚟	u			no-source	fallback	low
菲兒	u			no-source	fallback	low
過得	u			no-source	fallback	low
一人	u			no-source	fallback	low
丫嘛	u			no-source	fallback	low
咗一個	u			no-source	fallback	low
爲食	u			no-source	fallback	low
再問	u			no-source	fallback	low
咗入	u			no-source	fallback	low
蔣泳	u			no-source	fallback	low
一睇	u			no-source	fallback	low
再望	u			no-source	fallback	low
大樹	u			no-source	fallback	low
成班	u			no-source	fallback	low
這是	u			no-source	fallback	low
非	u			no-source	fallback	low
手仔	u			no-source	fallback	low
架車	u			no-source	fallback	low
雙腳	u			no-source	fallback	low
多了	u			no-source	fallback	low
最大的	u			no-source	fallback	low
它的	u			no-source	fallback	low
就在	u			no-source	fallback	low
你識	u			no-source	fallback	low
凌嘯峰	u			no-source	fallback	low
地講	u			no-source	fallback	low
就連	u			no-source	fallback	low
一入	u			no-source	fallback	low
扑嘢	u			no-source	fallback	low
打到	u			no-source	fallback	low
無用	u			no-source	fallback	low
王源	u			no-source	fallback	low
不懂	u			no-source	fallback	low
地個	u			no-source	fallback	low
你要	u			no-source	fallback	low
小燁	u			no-source	fallback	low
鍼	u			no-source	fallback	low
走了	u			no-source	fallback	low
又是	u			no-source	fallback	low
纔是	u			no-source	fallback	low
兵	n			cow-single	cow	medium
地會	u			no-source	fallback	low
小明	u			no-source	fallback	low
歐子	u			no-source	fallback	low
縮	u			no-source	fallback	low
大盤	u			no-source	fallback	low
時話	u			no-source	fallback	low
就能	u			no-source	fallback	low
白波	u			no-source	fallback	low
嘻嘻	u			no-source	fallback	low
好吧	u			no-source	fallback	low
一講	u			no-source	fallback	low
二哥	u			no-source	fallback	low
你問	u			no-source	fallback	low
就問	u			no-source	fallback	low
講出	u			no-source	fallback	low
雷米	u			no-source	fallback	low
你說	u			no-source	fallback	low
發叔	u			no-source	fallback	low
紅鈴	u			no-source	fallback	low
良生	u			no-source	fallback	low
講咗	u			no-source	fallback	low
讓他	u			no-source	fallback	low
也沒	u			no-source	fallback	low
就響	u			no-source	fallback	low
變返	u			no-source	fallback	low
站在	u			no-source	fallback	low
企咗	u			no-source	fallback	low
出到	u			no-source	fallback	low
樣嘢	u			no-source	fallback	low
走到	u			no-source	fallback	low
雪菲兒	u			no-source	fallback	low
我說	u			no-source	fallback	low
個妹	u			no-source	fallback	low
地行	u			no-source	fallback	low
邪	u			no-source	fallback	low
忍住	v			verb-suffix	heuristic	medium
我間	u			no-source	fallback	low
打個	u			no-source	fallback	low
鳳初	u			no-source	fallback	low
給他	u			no-source	fallback	low
就不	u			no-source	fallback	low
我訓	u			no-source	fallback	low
靚妹	u			no-source	fallback	low
鞋仔	u			no-source	fallback	low
出了	u			no-source	fallback	low
你就	u			no-source	fallback	low
就有	u			no-source	fallback	low
嘢都	u			no-source	fallback	low
威廉	u			no-source	fallback	low
余	u			no-source	fallback	low
几	u			no-source	fallback	low
埋個	u			no-source	fallback	low
對波	u			no-source	fallback	low
幾下	v			verb-suffix	heuristic	medium
我部	u			no-source	fallback	low
扮汗	u			no-source	fallback	low
粗	u			no-source	fallback	low
街街	u			no-source	fallback	low
坐在	u			no-source	fallback	low
大黃貓	u			no-source	fallback	low
張相	u			no-source	fallback	low
我仲有	u			no-source	fallback	low
片片	u			no-source	fallback	low
很有	u			no-source	fallback	low
一輪	u			no-source	fallback	low
怨	u			no-source	fallback	low
成件	u			no-source	fallback	low
知㗎	u			no-source	fallback	low
腳仔	u			no-source	fallback	low
兩天	u			no-source	fallback	low
一隻	u			no-source	fallback	low
咗一下	u			no-source	fallback	low
寂寞	n			cow-single	cow	medium
忘	v			cow-single	cow	medium
我連	u			no-source	fallback	low
泳茹	u			no-source	fallback	low
賤	u			no-source	fallback	low
邊到	u			no-source	fallback	low
食完	v			verb-suffix	heuristic	medium
仲會	u			no-source	fallback	low
經	u			no-source	fallback	low
貧大宅	u			no-source	fallback	low
圍住	v			verb-suffix	heuristic	medium
峰	u			no-source	fallback	low
幫人	u			no-source	fallback	low
張紙	u			no-source	fallback	low
活	v			cow-single	cow	medium
農	u			no-source	fallback	low
地問	u			no-source	fallback	low
帶住	v			verb-suffix	heuristic	medium
我道	u			no-source	fallback	low
淺	u			no-source	fallback	low
阿土	u			no-source	fallback	low
萬元	u			no-source	fallback	low
說了	u			no-source	fallback	low
一到	u			no-source	fallback	low
一層	u			no-source	fallback	low
一股	u			no-source	fallback	low
兩次	u			no-source	fallback	low
單止	u			no-source	fallback	low
帽帽	u			no-source	fallback	low
燈燈	u			no-source	fallback	low
罰	u			no-source	fallback	low
跟我	u			no-source	fallback	low
三年	u			no-source	fallback	low
吳非	u			no-source	fallback	low
唇	u			no-source	fallback	low
目	u			no-source	fallback	low
都能	u			no-source	fallback	low
問過	v			verb-suffix	heuristic	medium
我答	u			no-source	fallback	low
所講	u			no-source	fallback	low
條路	u			no-source	fallback	low
知有	u			no-source	fallback	low
豪叔	u			no-source	fallback	low
這種	u			no-source	fallback	low
是我	u			no-source	fallback	low
我仲未	u			no-source	fallback	low
無諗過	u			no-source	fallback	low
用手	u			no-source	fallback	low
魚魚	u			no-source	fallback	low
到死	u			no-source	fallback	low
問道	u			no-source	fallback	low
就會	u			no-source	fallback	low
我輕輕	u			no-source	fallback	low
杰	u			no-source	fallback	low
次見	u			no-source	fallback	low
薄	u			no-source	fallback	low
對我	u			no-source	fallback	low
模塊	u			no-source	fallback	low
六姨	u			no-source	fallback	low
去過	v			verb-suffix	heuristic	medium
我返	u			no-source	fallback	low
畀個	u			no-source	fallback	low
阿輝	u			no-source	fallback	low
做的	u			no-source	fallback	low
先講	u			no-source	fallback	low
寫住	v			verb-suffix	heuristic	medium
接過	v			verb-suffix	heuristic	medium
期望	n,v			cow-multi	cow	medium
死了	u			no-source	fallback	low
眼望	u			no-source	fallback	low
講埋	u			no-source	fallback	low
連我	u			no-source	fallback	low
幫你	u			no-source	fallback	low
都沒	u			no-source	fallback	low
跟你	u			no-source	fallback	low
一名	u			no-source	fallback	low
一招	u			no-source	fallback	low
咗張	u			no-source	fallback	low
幼	u			no-source	fallback	low
而不是	u			no-source	fallback	low
個腦	u			no-source	fallback	low
咗條	u			no-source	fallback	low
地三個	u			no-source	fallback	low
思聽	u			no-source	fallback	low
會令	u			no-source	fallback	low
畫到	u			no-source	fallback	low
白石	u			no-source	fallback	low
進	v			cow-single	cow	medium
檯面	u			no-source	fallback	low
你在	u			no-source	fallback	low
地望	u			no-source	fallback	low
完涼	u			no-source	fallback	low
強大	u			no-source	fallback	low
拉住	v			verb-suffix	heuristic	medium
易面	u			no-source	fallback	low
越來	v			verb-suffix	heuristic	medium
一把	u			no-source	fallback	low
他說	u			no-source	fallback	low
我成	u			no-source	fallback	low
母	n			cow-single	cow	medium
花花	u			no-source	fallback	low
講錯	u			no-source	fallback	low
食過	v			verb-suffix	heuristic	medium
傾下	v			verb-suffix	heuristic	medium
凳凳	u			no-source	fallback	low
小貞同	u			no-source	fallback	low
我明	u			no-source	fallback	low
條命	u			no-source	fallback	low
水水	u			no-source	fallback	low
澄澄	u			no-source	fallback	low
義	u			no-source	fallback	low
足	n			cow-single	cow	medium
最好的	u			no-source	fallback	low
還不	u			no-source	fallback	low
你當	u			no-source	fallback	low
偏	u			no-source	fallback	low
做緊	u			no-source	fallback	low
全班	u			no-source	fallback	low
兩人	u			no-source	fallback	low
看着	u			no-source	fallback	low
腳腳	u			no-source	fallback	low
靈兒	u			no-source	fallback	low
喫了	u			no-source	fallback	low
全市	u			no-source	fallback	low
一滴	u			no-source	fallback	low
五個	u			no-source	fallback	low
依句	u			no-source	fallback	low
個名	u			no-source	fallback	low
思語	u			no-source	fallback	low
搵錢	u			no-source	fallback	low
有陣	u			no-source	fallback	low
條褲	u			no-source	fallback	low
異	u			no-source	fallback	low
訓醒	u			no-source	fallback	low
首	a			cow-single	cow	medium
更好	v			verb-suffix	heuristic	medium
我都	u			no-source	fallback	low
和你	u			no-source	fallback	low
你也	u			no-source	fallback	low
寫的	u			no-source	fallback	low
后	u			no-source	fallback	low
我企	u			no-source	fallback	low
我度	u			no-source	fallback	low
會點	u			no-source	fallback	low
當你	u			no-source	fallback	low
白眼	u			no-source	fallback	low
行入	u			no-source	fallback	low
豬豬	u			no-source	fallback	low
走入	u			no-source	fallback	low
黑衣人	u			no-source	fallback	low
本站	u			no-source	fallback	low
但我	u			no-source	fallback	low
好象	u			no-source	fallback	low
傳黎	u			no-source	fallback	low
好悶	u			no-source	fallback	low
就當	u			no-source	fallback	low
船船	u			no-source	fallback	low
食到	u			no-source	fallback	low
首歌	u			no-source	fallback	low
我去	v			verb-suffix	heuristic	medium
兩個人	u			no-source	fallback	low
三日	u			no-source	fallback	low
我邊	u			no-source	fallback	low
無幾耐	u			no-source	fallback	low
真㗎	u			no-source	fallback	low
訓覺	u			no-source	fallback	low
說罷	u			no-source	fallback	low
講好	v			verb-suffix	heuristic	medium
利於	u			no-source	fallback	low
被人	v		passive	prefix-passive	heuristic	medium
日誌	u			no-source	fallback	low
今個	u			no-source	fallback	low
伊曼	u			no-source	fallback	low
半個	u			no-source	fallback	low
同小貞	u			no-source	fallback	low
寒	a			cow-single	cow	medium
希仔	u			no-source	fallback	low
我身	u			no-source	fallback	low
有條	u			no-source	fallback	low
阿金	u			no-source	fallback	low
他是	u			no-source	fallback	low
了嗎	u			no-source	fallback	low
也能	u			no-source	fallback	low
這款	u			no-source	fallback	low
主	u			no-source	fallback	low
人知	u			no-source	fallback	low
嗰邊	u			no-source	fallback	low
塊面	u			no-source	fallback	low
成間	u			no-source	fallback	low
晨哥	u			no-source	fallback	low
杏堂	u			no-source	fallback	low
條仔	u			no-source	fallback	low
說的	u			no-source	fallback	low
一架	u			no-source	fallback	low
人同	u			no-source	fallback	low
依間	u			no-source	fallback	low
再用	u			no-source	fallback	low
半個鐘	u			no-source	fallback	low
右行	u			no-source	fallback	low
咗一聲	u			no-source	fallback	low
咗線	u			no-source	fallback	low
嘉穎	u			no-source	fallback	low
尚健	u			no-source	fallback	low
我食	u			no-source	fallback	low
每一次	u			no-source	fallback	low
群	u			no-source	fallback	low
講呀	u			no-source	fallback	low
閒	u			no-source	fallback	low
看你	u			no-source	fallback	low
要去	v			verb-suffix	heuristic	medium
又有	u			no-source	fallback	low
纔會	u			no-source	fallback	low
更爲	u			no-source	fallback	low
一舊	u			no-source	fallback	low
咸	u			no-source	fallback	low
小木魚	u			no-source	fallback	low
正想	u			no-source	fallback	low
糖糖	u			no-source	fallback	low
迎接	n,v			cow-multi	cow	medium
阿玲	u			no-source	fallback	low
本網	u			no-source	fallback	low
這麼多	u			no-source	fallback	low
比我	u			no-source	fallback	low
一粒	u			no-source	fallback	low
一腳	u			no-source	fallback	low
也在	u			no-source	fallback	low
好熱	u			no-source	fallback	low
完飯	u			no-source	fallback	low
幾句	u			no-source	fallback	low
我想問	u			no-source	fallback	low
手手	u			no-source	fallback	low
條路線	u			no-source	fallback	low
沉重	v			cow-single	cow	medium
阿志	u			no-source	fallback	low
黑妹	u			no-source	fallback	low
歲的	u			no-source	fallback	low
在此	u			no-source	fallback	low
沒有什麼	u			no-source	fallback	low
說是	u			no-source	fallback	low
模板	u			no-source	fallback	low
要不要	u			no-source	fallback	low
和我	u			no-source	fallback	low
一對	u			no-source	fallback	low
咗下	v			verb-suffix	heuristic	medium
好煩	u			no-source	fallback	low
思講	u			no-source	fallback	low
我並	u			no-source	fallback	low
求下	v			verb-suffix	heuristic	medium
玩緊	u			no-source	fallback	low
講句	u			no-source	fallback	low
是指	u			no-source	fallback	low
那就是	u			no-source	fallback	low
把我	u			no-source	fallback	low
還得	u			no-source	fallback	low
很高	u			no-source	fallback	low
將在	u			no-source	fallback	low
不起	v			verb-suffix	heuristic	medium
入房	u			no-source	fallback	low
北	n			cow-single	cow	medium
咗件	u			no-source	fallback	low
嘢講	u			no-source	fallback	low
張彥	u			no-source	fallback	low
成條	u			no-source	fallback	low
每一	u			no-source	fallback	low
突如	u			no-source	fallback	low
大連	u			no-source	fallback	low
每個人	u			no-source	fallback	low
全省	u			no-source	fallback	low
賬戶	u			no-source	fallback	low
請您	u			no-source	fallback	low
人講	u			no-source	fallback	low
他在	u			no-source	fallback	low
包包	u			no-source	fallback	low
士	u			no-source	fallback	low
愛我	u			no-source	fallback	low
搖搖頭	u			no-source	fallback	low
晴晴	u			no-source	fallback	low
聽住	v			verb-suffix	heuristic	medium
訓教	u			no-source	fallback	low
話晒	u			no-source	fallback	low
講個	u			no-source	fallback	low
插件	u			no-source	fallback	low
我看	u			no-source	fallback	low
也很	u			no-source	fallback	low
等着	u			no-source	fallback	low
是從	u			no-source	fallback	low
黨的	u			no-source	fallback	low
是不	u			no-source	fallback	low
是誰	u			no-source	fallback	low
您好	v			verb-suffix	heuristic	medium
說說	u			no-source	fallback	low
上了	u			no-source	fallback	low
一段時間	u			no-source	fallback	low
一大堆	u			no-source	fallback	low
反駁	v			cow-single	cow	medium
好慘	u			no-source	fallback	low
打過	v			verb-suffix	heuristic	medium
提碑	u			no-source	fallback	low
星月	u			no-source	fallback	low
知講	u			no-source	fallback	low
繞過	v			verb-suffix	heuristic	medium
美麗	u			no-source	fallback	low
豪仔	u			no-source	fallback	low
要有	u			no-source	fallback	low
下了	u			no-source	fallback	low
一吓	u			no-source	fallback	low
人群	u			no-source	fallback	low
勝利	n,v			cow-multi	cow	medium
哩樣	u			no-source	fallback	low
嗰間	u			no-source	fallback	low
回事	u			no-source	fallback	low
我過	v			verb-suffix	heuristic	medium
要講	u			no-source	fallback	low
返入	u			no-source	fallback	low
沒錢	u			no-source	fallback	low
你有	u			no-source	fallback	low
溼潤	u			no-source	fallback	low
較高	u			no-source	fallback	low
做什麼	u			no-source	fallback	low
一臺	u			no-source	fallback	low
上行	u			no-source	fallback	low
依件	u			no-source	fallback	low
北山	u			no-source	fallback	low
哈哈哈哈	u			no-source	fallback	low
安	u			no-source	fallback	low
心裡面	u			no-source	fallback	low
機機	u			no-source	fallback	low
行返	u			no-source	fallback	low
衝入	u			no-source	fallback	low
阿信	u			no-source	fallback	low
靈力	u			no-source	fallback	low
食食	u			no-source	fallback	low
我市	u			no-source	fallback	low
還行	u			no-source	fallback	low
好不好	u			no-source	fallback	low
的新	u			no-source	fallback	low
很好的	u			no-source	fallback	low
讓她	u			no-source	fallback	low
先有	u			no-source	fallback	low
再加	u			no-source	fallback	low
前行	u			no-source	fallback	low
好多嘢	u			no-source	fallback	low
就夠	u			no-source	fallback	low
展文	u			no-source	fallback	low
心怡	u			no-source	fallback	low
胸前	u			no-source	fallback	low
著著	u			no-source	fallback	low
行下	v			verb-suffix	heuristic	medium
話過	v			verb-suffix	heuristic	medium
貧	u			no-source	fallback	low
起個	u			no-source	fallback	low
阿傑	u			no-source	fallback	low
雙腿	u			no-source	fallback	low
年的	u			no-source	fallback	low
在這	u			no-source	fallback	low
對你	u			no-source	fallback	low
買的	u			no-source	fallback	low
的是	u			no-source	fallback	low
很容易	u			no-source	fallback	low
