literal	pos	family	voice	note	trust	pattern	verdict	fix_family	audit_note
恰恰相反	u	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic	low	AABC	SOFT		常見固定搭配；偏副詞組非典成語
挨家挨户	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
擒賊擒王	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
新人新事	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	SOFT		時代口號式對舉；固定度中等可留
是是非非	u	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review	high	AABB	OK		
有名有姓	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
有婦之夫	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	之字格	OK		
朗朗上口	u	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic	low	AABC	OK		
木口木面	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
本鄉本土	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
活龍活現	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
滑頭滑腦	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
無仇無怨	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
無影無蹤	n	idiom		cow-single;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
生存之道	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	之字格	SOFT		X之道 能產；文學固定式可留
竊竊私語	u	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic	low	AABC	OK		
統購統銷	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	BAD		計劃經濟政策術語 NP，非固定說法
老夫老妻	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
耿耿於懷	u	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic	low	AABC	OK		
自由自在	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
若即若離	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
跌跌撞撞	u	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review	high	AABB	OK		
雙宿雙飛	u	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic	low	ABAC	OK		
面面相覷	u	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic	low	AABC	OK		
